epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.8861415534901123,0.9380465149879456,0.20723098516464233,100.54495442708334,82.90938313802083,1.453125,1.46875,1.4494974613189697,1.9375,0.1171875, cars |  car |  roofs |  chair |  roof, cars |  frogs |  vowels |  cats |  birds,0.597122311592102,0.9568345546722412,0.2374100685119629
2,0.9239962309142963,0.009902510792016983,1.2943083047866821,46.475612767537434,38.367486572265626,1.4609375,1.46875,1.4494974613189697,1.953125,0.1123046875, car |  cars |  chair |  roof |  roofs, cars |  frogs |  vowels |  cats |  birds,0.6798561215400696,0.9856114983558655,0.3741007149219513
3,0.7923419170968136,0.006591203156858683,1.159995198249817,33.424990223844844,31.409178212285042,1.46875,1.4765625,1.4494974613189697,1.9765625,0.10302734375, car |  chair |  roof |  girl |  cars, frogs |  cars |  vowels |  birds |  people,0.8309352397918701,0.9856114983558655,0.6762589812278748
4,0.9368646319503947,0.4457375109195709,0.027315208688378334,26.92580053011576,26.657596778869628,1.46875,1.4765625,1.4494974613189697,1.96875,0.103515625, car |  chair |  roof |  cars |  roofs, frogs |  cars |  vowels |  birds |  cats,0.8417266011238098,0.9280575513839722,0.7553957104682922
5,0.6196099893758477,0.0052285464480519295,0.9044330716133118,18.070469983418782,17.999152501424152,1.46875,1.4765625,1.4494974613189697,1.9765625,0.099609375, car |  chair |  roof |  roofs |  girl, frogs |  cars |  vowels |  birds |  cats,0.8597122430801392,0.971222996711731,0.7482014298439026
6,0.42693774067124174,0.000789922836702317,1.3090131282806396,11.836687330218654,11.506416749954223,1.4765625,1.4765625,1.4494974613189697,1.9921875,0.09521484375, car |  chair |  roof |  bird |  girl, frogs |  cars |  vowels |  birds |  cats,0.8561151027679443,0.9784172773361206,0.7338129281997681
7,1.155953186988275,0.0022648770827800035,0.9582117795944214,31.533901659647622,31.45279661814372,1.4765625,1.484375,1.4494974613189697,1.9921875,0.09423828125, car |  chair |  roof |  girl |  bird, frogs |  cars |  vowels |  birds |  cats,0.8597122430801392,0.971222996711731,0.7482014298439026
8,0.5797939120783335,1.8092148303985596,0.00010960640793200582,16.122469257439175,16.072485585014025,1.46875,1.4921875,1.4494974613189697,2.0,0.0908203125, car |  chair |  roofs |  roof |  bird, frogs |  cars |  birds |  vowels |  cats,0.8525179624557495,0.8417266011238098,0.8633093237876892
9,0.9399199892269507,0.0007969272555783391,1.2554070949554443,26.162381704648336,26.008832105000813,1.484375,1.484375,1.4494974613189697,2.0,0.08984375, car |  chair |  bird |  girl |  roof, frogs |  cars |  vowels |  birds |  cats,0.8561151027679443,0.9784172773361206,0.7338129281997681
10,0.573186775813366,1.2533068656921387,0.00092873047105968,16.317447901889683,16.20697948932648,1.4765625,1.4921875,1.4494974613189697,2.0,0.08740234375, car |  chair |  roofs |  bird |  roof, frogs |  cars |  vowels |  birds |  cats,0.8776978254318237,0.9208633303642273,0.8345323801040649
11,0.9753774779923333,0.00021158956224098802,1.6529535055160522,27.013594834009805,26.98052282333374,1.484375,1.484375,1.4494974613189697,2.015625,0.08349609375, car |  chair |  bird |  girl |  roof, frogs |  cars |  vowels |  birds |  cats,0.8741007447242737,0.9784172773361206,0.769784152507782
12,0.8358043458450103,0.0002778245834633708,1.552188515663147,20.88572951257229,20.860725204149883,1.4921875,1.484375,1.4494974613189697,2.015625,0.08154296875, car |  chair |  bird |  girl |  roof, frogs |  cars |  vowels |  birds |  cats,0.8776978254318237,0.971222996711731,0.7841726541519165
13,1.036424106701289,0.9566642045974731,0.0017880526138469577,25.96503636923929,25.918336326628925,1.484375,1.4921875,1.4494974613189697,2.015625,0.08056640625, car |  chair |  bird |  girl |  roof, frogs |  cars |  vowels |  birds |  cats,0.8776978254318237,0.8776978254318237,0.8776978254318237
14,0.8512684896735077,0.38334786891937256,0.0322265662252903,21.02345767443379,20.96947073141734,1.484375,1.4921875,1.4494974613189697,2.015625,0.0791015625, car |  chair |  bird |  girl |  roof, frogs |  cars |  vowels |  birds |  cats,0.8992805480957031,0.935251772403717,0.8633093237876892
