epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.493433713912964,0.0006743972189724445,53.7828537940979,59.72413736979167,1.078125,1.0859375,1.0794202089309692,1.4296875,0.12890625, |  | Coords | ﭕ |  chicken, dogs |  cats |  |  |  houses,0.5084033608436584,0.016806723549962044,1.0
2,,0.3457915186882019,0.002198882168158889,18.815828108787535,18.482059733072916,1.078125,1.078125,1.0794202089309692,1.4375,0.10791015625, |  | Coords | ﭕ |  chicken, dogs |  cats |  houses |  | ,0.529411792755127,0.05882352963089943,1.0
3,,0.007611486129462719,0.06392069160938263,12.68311030069987,12.47773897945881,1.078125,1.078125,1.0794202089309692,1.4609375,0.08154296875, |  | Coords | ﭕ | 𓃰, dogs |  cats |  houses |  lamps | ,0.6134454011917114,0.24369747936725616,0.9831932783126831
4,,0.019992921501398087,0.0014086106093600392,15.90642122576634,16.031839688618977,1.078125,1.078125,1.0794202089309692,1.515625,0.01708984375, |  | Coords | ﭕ | ﴽ, dogs |  cats |  houses |  lamps |  computers,0.743697464466095,0.4957983195781708,0.9915966391563416
5,,1.1948373317718506,1.0478371223143768e-05,1.5548244409961627,1.404658571879069,1.078125,1.078125,1.0794202089309692,1.5234375,0.00537109375, |  | Coords |  chicken | בלע, dogs |  cats |  houses |  | ,0.6722689270973206,0.3445378243923187,1.0
6,,0.35301169753074646,3.543825732776895e-05,13.190704997380575,13.15496489952008,1.078125,1.078125,1.0794202089309692,1.578125,-0.0771484375, |  |  lizard |  chicken | Coords, dogs |  cats |  computers |  houses |  horses,0.8235294222831726,0.6722689270973206,0.9747899174690247
7,,0.1091863289475441,0.00013194479106459767,2.5810554792483646,2.5383768320083617,1.078125,1.078125,1.0794202089309692,1.6015625,-0.09814453125, |  |  lizard |  chicken | Coords, dogs |  cats |  computers |  houses |  horses,0.848739504814148,0.7394958138465881,0.9579831957817078
8,,0.0008101233979687095,0.0016262037679553032,5.277636858820915,5.497826178868611,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1455078125, |  |  lizard |  chicken | (child, dogs |  cats | 两只 |  computers |  horses,0.8781512379646301,0.8151260614395142,0.9411764740943909
9,,0.0007768134819343686,0.0011921761324629188,0.11596397068594039,0.12159214019775391,1.078125,1.078125,1.0794202089309692,1.6328125,-0.14453125, |  |  lizard |  chicken | (child, dogs |  cats | 两只 |  computers |  horses,0.8823529481887817,0.8235294222831726,0.9411764740943909
10,,0.0002262858033645898,0.0013369100634008646,0.09614074033087643,0.0652668317159017,1.078125,1.078125,1.0794202089309692,1.6328125,-0.142578125, |  |  lizard | 𓃰 | (child, dogs |  cats | 两只 |  computers |  horses,0.8865545988082886,0.8739495873451233,0.8991596698760986
