epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.674205513152993,4.483657360076904,1.1229129086132161e-05,76.50076913436254,69.7210416575273,1.1171875,1.15625,1.0794202089309692,1.4921875,0.140625, [wugs] |  dogs | тех |  candle |  dog, cats |  dogs |  birds |  trees |  chairs,0.5252100825309753,0.05042016878724098,1.0
2,0.89359901201282,2.0110507011413574,0.0006039076251909137,22.52486487229665,17.789021440347035,1.140625,1.1484375,1.0794202089309692,1.5,0.1376953125, [wugs] |  dogs |  dog |  candle | тех, cats |  dogs |  birds |  trees |  chairs,0.7352941036224365,0.47058823704719543,1.0
3,0.37239161857055764,0.00015304659609682858,3.6534225940704346,10.615524454911549,10.608259893084567,1.15625,1.1484375,1.0794202089309692,1.5234375,0.123046875, dog |  candle |  dogs |  mouse |  cat, cats |  dogs |  chairs |  trees |  birds,0.8571428656578064,0.756302535533905,0.9579831957817078
4,2.252933427478004,1.1316727068333421e-05,2.27844500541687,36.55621243592662,36.470915617545444,1.1640625,1.15625,1.0794202089309692,1.5390625,0.11279296875, dog |  candle |  dogs |  mouse |  cat, cats |  dogs |  birds |  chairs |  trees,0.8739495873451233,0.8991596698760986,0.848739504814148
5,1.7099923603590639,0.0017211487283930182,1.001376748085022,31.212835834966974,31.217792721760148,1.15625,1.1640625,1.0794202089309692,1.5546875,0.10546875, dog |  candle |  mouse |  dogs |  bear, cats |  dogs |  birds |  chairs |  trees,0.8277310729026794,0.6638655662536621,0.9915966391563416
6,1.5225135487393429,4.0321658161701635e-05,1.750298261642456,28.316013425877706,28.255527867440346,1.1640625,1.1640625,1.0794202089309692,1.5703125,0.09765625, dog |  candle |  mouse |  dogs |  cat, cats |  dogs |  birds |  chairs |  trees,0.8739495873451233,0.756302535533905,0.9915966391563416
7,0.9859014727163694,1.7380132703692652e-05,1.900490403175354,13.090605808350908,12.841171866670871,1.171875,1.1640625,1.0794202089309692,1.5703125,0.095703125, dog |  candle |  mouse |  cat |  dogs, cats |  dogs |  birds |  chairs |  trees,0.8823529481887817,0.7731092572212219,0.9915966391563416
8,1.0969234412669404,6.906652561156079e-05,1.6003555059432983,12.847515166395048,12.753971195544485,1.171875,1.1640625,1.0794202089309692,1.578125,0.09423828125, dog |  candle |  mouse |  cat |  dogs, cats |  dogs |  birds |  chairs |  trees,0.8823529481887817,0.7731092572212219,0.9915966391563416
9,1.1294349590866384,0.009724185802042484,0.6097976565361023,12.704397059582698,12.704769003387385,1.171875,1.171875,1.0794202089309692,1.578125,0.0947265625, dog |  candle |  mouse |  bear |  dogs, cats |  dogs |  birds |  chairs |  trees,0.848739504814148,0.7058823704719543,0.9915966391563416
10,2.0865742252368262,2.384175104452879e-06,2.3036134243011475,37.05930831954077,37.00693566201953,1.1875,1.171875,1.0794202089309692,1.59375,0.08251953125, dog |  candle |  mouse |  cat |  bear, cats |  dogs |  birds |  chairs |  trees,0.894957959651947,0.8907563090324402,0.8991596698760986
