epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.6414207226363944,1.1545605659484863,0.0345882773399353,67.66775512695312,55.481039412816365,1.453125,1.4765625,1.4494974613189697,1.9765625,0.0888671875, trees |  tree |  Trees | 樹 | _tree, chairs |  dogs |  chair |  birds |  cats,0.5251798629760742,0.16546761989593506,0.8848921060562134
2,0.6191997996689073,0.004891140852123499,1.3144265413284302,24.75389674504598,20.986353994657595,1.46875,1.46875,1.4494974613189697,1.984375,0.08984375, tree |  trees |  Trees | 樹 | _tree, chairs |  dogs |  birds |  chair |  cats,0.6294963955879211,0.3956834673881531,0.8633093237876892
3,0.7702096727894968,0.010918316431343555,0.7623268365859985,22.391891860961913,22.830333453416824,1.46875,1.4765625,1.4494974613189697,1.984375,0.08837890625, tree |  trees | 樹 |  Trees | _tree, chairs |  dogs |  birds |  chair |  cats,0.6079136729240417,0.3309352397918701,0.8848921060562134
4,0.6570226865206981,1.0377203226089478,0.00224656262435019,19.61230804125468,18.731319228808086,1.46875,1.484375,1.4494974613189697,2.0,0.08349609375, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  cats |  puppies,0.5575539469718933,0.23021583259105682,0.8848921060562134
5,1.0769772556749861,0.9578009843826294,0.0028190473094582558,30.623951800664265,30.670316605766615,1.46875,1.484375,1.4494974613189697,2.0,0.08251953125, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  cats |  puppies,0.5755395889282227,0.26618704199790955,0.8848921060562134
6,0.5850921032380938,0.0013734407257288694,1.2269752025604248,17.929875714580216,17.854970116044083,1.4765625,1.4765625,1.4494974613189697,2.0,0.08447265625, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  cats |  chair,0.6690647602081299,0.43884891271591187,0.8992805480957031
7,0.8331356140448178,0.0008993377559818327,1.2771583795547485,21.137548089027405,20.961904843648274,1.4765625,1.4765625,1.4494974613189697,2.0,0.083984375, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  cats |  puppies,0.6798561215400696,0.46043166518211365,0.8992805480957031
8,0.8088166453799204,0.0005733548896387219,1.302849292755127,21.157117171709736,21.043211297194162,1.4765625,1.4765625,1.4494974613189697,2.0,0.083984375, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  cats |  puppies,0.7158273458480835,0.5323740839958191,0.8992805480957031
9,0.5831162463251379,0.9037724733352661,0.0025719180703163147,17.442304011185964,17.442986714839936,1.4765625,1.484375,1.4494974613189697,2.015625,0.07861328125, tree | 樹 | _tree |  trees | 	tree, chairs |  dogs |  birds |  cats |  puppies,0.6258992552757263,0.3525179922580719,0.8992805480957031
10,0.9246027622692281,0.00013201193360146135,1.659733533859253,25.13683158059915,25.16012431346656,1.484375,1.4765625,1.4494974613189697,2.0,0.08203125, tree | 樹 |  trees |  Trees | _tree, chairs |  dogs |  birds |  puppies |  cats,0.7733812928199768,0.6402877569198608,0.9064748287200928
