epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.19407859444618225,0.1340506672859192,57.924022383034085,47.169378821778324,1.078125,1.078125,1.0794202089309692,1.7265625,-0.275390625, dragon |  Dragon | 🐉 |  | , cats |  dogs |  phones |  rabbits | 💏,0.7184873819351196,0.5546218752861023,0.8823529481887817
2,,4.157637596130371,0.6220430135726929,23.924079084396986,27.73374771042351,1.078125,1.078125,1.0794202089309692,1.9140625,-0.57421875, dragon |  Dragon | 🐉 | 🐲 | Dragon, cats |  двух | 两家 | ꧈ |  milfs,0.6470588445663452,0.6386554837226868,0.6554622054100037
3,,0.000520087662152946,1.4066598623685422e-06,32.58493123603245,42.10885524750103,1.078125,1.078125,1.0794202089309692,1.96875,-0.65625, dragon | 🐉 | 🐲 |  Dragon | dragon, deux | 两位 |  двух |  two |  Two,0.7184873819351196,0.7899159789085388,0.6470588445663452
4,,0.0004003148933406919,3.383779403520748e-05,0.030757384067140948,0.030361334494591573,1.078125,1.078125,1.0794202089309692,1.9609375,-0.65234375, dragon | 🐉 | 🐲 |  Dragon | dragon, deux | 两位 |  двух |  two |  Two,0.7268907427787781,0.7983193397521973,0.6554622054100037
5,,2.74403046205407e-05,3.925989585695788e-05,0.03623419947971342,0.03639505803661223,1.078125,1.078125,1.0794202089309692,1.9609375,-0.65625, dragon | 🐉 | 🐲 |  Dragon | dragon, deux | 两位 |  двух | 两家 |  two,0.7142857313156128,0.7899159789085388,0.6386554837226868
6,,1.311301929263209e-07,0.0009077672148123384,0.01145911604592887,0.011726186779120932,1.078125,1.078125,1.0794202089309692,1.9609375,-0.65625, dragon | 🐉 | 🐲 |  Dragon | dragon, deux | 两位 |  двух |  two |  Two,0.651260495185852,0.605042040348053,0.6974790096282959
7,,0.016263332217931747,2.956293428724166e-05,29.575064815183577,36.380218629345016,1.078125,1.078125,1.0794202089309692,2.046875,-0.796875, dragon | 🐉 |  creature | 🐲 | dragon, двух | 两位 |  deux |  two | 两家,0.7478991746902466,0.5546218752861023,0.9411764740943909
8,,2.004207134246826,0.0,1.4119222482046576,0.9717771707103118,1.078125,1.078125,1.0794202089309692,2.046875,-0.80078125, dragon | 🐉 | 🐲 |  creature | dragon, двух | 两位 |  deux | 两只 | 两家,0.5672268867492676,0.15126051008701324,0.9831932783126831
9,,5.42246150970459,0.1656775176525116,34.09316995146843,28.273213253372038,1.078125,1.078125,1.0794202089309692,2.0625,-0.82421875, creature |  dragon | 🐲 | 🐉 | creature, two |  Two | 两位 |  deux | 两家,0.605042040348053,0.24369747936725616,0.9663865566253662
10,,4.785126209259033,1.0728779216151452e-06,23.652772956473928,22.71088118242613,1.078125,1.078125,1.0794202089309692,2.078125,-0.84765625, dragon | 🐲 |  concealed |  Dragon | 🐉, two |  deux |  Two |  двух | two,0.529411792755127,0.06722689419984818,0.9915966391563416
11,,32.17603302001953,0.0,22.16015289867261,21.752055102599833,1.078125,1.078125,1.0794202089309692,2.0625,-0.828125, dragon |  Dragon |  concealed | 最合适 | dragon, two |  двух | 两只 |  deux | 两位,0.5042017102241516,0.008403361774981022,1.0
12,,0.00014942324196454138,0.0010263327276334167,5.904200557630247,6.6354545284082445,1.078125,1.078125,1.0794202089309692,2.0625,-0.8125, dragon | 🐉 | dragon | 🐲 |  Dragon, two |  двух |  deux | 两位 | 两只,0.7731092572212219,0.6386554837226868,0.9075630307197571
