epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,5.591844081878662,5.1643877029418945,59.73810303211212,59.40565439860026,1.078125,1.078125,1.0794202089309692,1.4375,0.111328125, gates |  |  |  fences |  Doors, |  | ﲋ | 햤 | ﳤ,0.4159663915634155,0.4453781545162201,0.38655462861061096
2,,3.3288071155548096,3.4110970497131348,62.44258303642273,55.41896158854167,1.078125,1.078125,1.0794202089309692,1.4375,0.1171875, gates |  |  |  fences | ﭺ, |  | ﲋ | 햤 |  cats,0.47478991746902466,0.26050421595573425,0.6890756487846375
3,,1.5688873529434204,2.275191068649292,59.60808563232422,52.572916666666664,1.078125,1.078125,1.0794202089309692,1.4296875,0.1220703125, gates |  |  | ﭺ |  fences, |  | ﲋ | 햤 |  cats,0.5042017102241516,0.3025210201740265,0.7058823704719543
4,,0.9830339550971985,1.5461664199829102,49.38386027018229,49.78958333333333,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, gates |  |  | ﭺ | ㈼, |  | ﲋ | 햤 |  cats,0.5084033608436584,0.2689075767993927,0.7478991746902466
5,,0.5022765398025513,1.1418535709381104,41.9133056640625,47.4375,1.078125,1.0859375,1.0794202089309692,1.4296875,0.1279296875, gates |  |  | ﭺ | ﯪ, |  | ﲋ |  cats | 햤,0.5126050710678101,0.32773110270500183,0.6974790096282959
