epoch,wug_proj,wugs_proj,dist
1,0.02964375913143158,0.06595620512962341,0.036312445998191833
2,0.02470463141798973,0.07013991475105286,0.045435283333063126
3,0.01998196169734001,0.07409907877445221,0.0541171170771122
4,0.015695299953222275,0.07757829129695892,0.06188299134373665
5,0.012285089120268822,0.08014609664678574,0.06786100566387177
6,0.008914878591895103,0.0825100690126419,0.07359518855810165
7,0.006024651695042849,0.08439099788665771,0.07836634665727615
8,0.003244793973863125,0.08590205013751984,0.08265725523233414
9,0.0010059187188744545,0.08728697896003723,0.08628106117248535
10,-0.0015307394787669182,0.08881041407585144,0.09034115076065063
11,-0.003179122693836689,0.0903441309928894,0.09352325648069382
12,-0.004288605414330959,0.09132267534732819,0.09561128169298172
13,-0.006021365988999605,0.09273283183574677,0.09875419735908508
14,-0.007415151223540306,0.09385964274406433,0.10127479583024979
15,-0.008533577434718609,0.09497503191232681,0.1035086065530777
16,-0.0095156729221344,0.09589722752571106,0.10541290044784546
17,-0.010320019908249378,0.09664439409971237,0.10696441680192947
18,-0.011057788506150246,0.09748359024524689,0.10854137688875198
19,-0.012154130265116692,0.09828242659568787,0.11043655872344971
