epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.3371596336364746,1.640677809715271,53.94052251180013,46.54241129557292,1.453125,1.453125,1.4494974613189697,1.96875,0.076171875, dogs |  lamps |  mansion |  gates |  whales, rabbits |  dogs |  rats |  gates |  bathtub,0.38129496574401855,0.11510791629552841,0.6474820375442505
2,,0.37652868032455444,1.368565559387207,45.98489583333333,41.76477864583333,1.453125,1.453125,1.4494974613189697,1.96875,0.080078125, dogs |  mansion |  lamps |  Dogs |  gates, rabbits |  dogs |  rats |  gates |  bathtub,0.3956834673881531,0.2374100685119629,0.5539568066596985
3,,0.7646892070770264,0.15247449278831482,39.020833333333336,35.37135416666667,1.4453125,1.453125,1.4494974613189697,1.9609375,0.0830078125, dogs |  mansion |  lamps |  Dogs |  gates, rabbits |  dogs |  rats |  gates |  mice,0.43525180220603943,0.22302158176898956,0.6474820375442505
4,,0.4430275857448578,0.09597010910511017,27.173697916666665,26.4796875,1.453125,1.453125,1.4494974613189697,1.96875,0.080078125, dogs |  mansion |  gates |  Dogs |  whales, rabbits |  dogs |  rats |  mice |  gates,0.4532374143600464,0.26618704199790955,0.6402877569198608
5,,0.3863779306411743,0.04707431048154831,21.461458333333333,21.2390625,1.453125,1.453125,1.4494974613189697,1.96875,0.07421875, dogs |  mansion |  Dogs |  gates |  puppy, rabbits |  dogs |  rats |  mice |  gates,0.4568345248699188,0.26618704199790955,0.6474820375442505
6,,0.3729196786880493,0.03011855110526085,19.95703125,19.715625,1.453125,1.4453125,1.4494974613189697,1.9765625,0.0693359375, dogs |  mansion |  gates |  puppy |  Dogs, rabbits |  dogs |  rats |  mice |  gates,0.48201438784599304,0.28776979446411133,0.6762589812278748
7,,0.19638586044311523,0.04531059414148331,17.265625,17.086588541666668,1.4453125,1.4453125,1.4494974613189697,1.984375,0.06298828125, dogs |  mansion |  puppy |  gates |  Dogs, rabbits |  dogs |  mice |  rats |  gates,0.5071942210197449,0.3525179922580719,0.6618704795837402
8,,0.22126519680023193,0.03751767426729202,14.800358072916667,15.370768229166666,1.453125,1.453125,1.4494974613189697,1.9921875,0.0576171875, dogs |  mansion |  puppy |  gates |  Dogs, rabbits |  dogs |  mice |  rats |  lamps,0.5323740839958191,0.38129496574401855,0.6834532618522644
9,,0.023768462240695953,0.1626596599817276,11.402083333333334,11.006640625,1.453125,1.453125,1.4494974613189697,2.0,0.05029296875, mansion |  dogs |  puppy |  gates |  kitten, rabbits |  dogs |  mice |  rats |  lamps,0.5755395889282227,0.5395683646202087,0.6115108132362366
10,,0.1497836410999298,0.02314155176281929,9.888216145833333,9.8892578125,1.453125,1.453125,1.4494974613189697,2.0,0.0439453125, mansion |  dogs |  puppy |  gates |  kitten, rabbits |  dogs |  mice |  lamps |  rats,0.5611510872840881,0.48201438784599304,0.6402877569198608
11,,0.046892695128917694,0.07605455815792084,10.854166666666666,10.747884114583334,1.4453125,1.453125,1.4494974613189697,2.015625,0.038818359375, mansion |  dogs |  puppy |  gates |  kitten, rabbits |  dogs |  mice |  lamps |  rats,0.5755395889282227,0.5251798629760742,0.6258992552757263
