epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.7899074554443359,0.2365904301404953,67.5234375,53.151171875,1.4453125,1.4453125,1.4494974613189697,1.96875,0.07421875, Door |  dogs |  door |  dog | dogs, dogs |  claws |  turtles |  houses |  rabbits,0.5588235259056091,0.31092438101768494,0.8067227005958557
2,,0.5939292907714844,0.018944090232253075,41.046630859375,40.55638020833333,1.4453125,1.453125,1.4494974613189697,1.9921875,0.0556640625, Door |  dogs |  thing |  dog |  Dog, dogs |  claws |  turtles |  rabbits |  trees,0.5504201650619507,0.24369747936725616,0.8571428656578064
3,,0.004473409149795771,0.7416607141494751,20.493196614583333,20.61451416015625,1.453125,1.453125,1.4494974613189697,2.015625,0.0341796875, Door |  Dog |  thing |  dog |  door, dogs |  rabbits |  claws |  turtles |  trees,0.5882353186607361,0.3613445460796356,0.8151260614395142
