epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.928055763244629,1.1339061260223389,68.16915435791017,54.12339220046997,1.453125,1.453125,1.4494974613189697,2.59375,-0.60546875, coolest |  creature |  beast |  thing |  monster,两只 |  двух |  twins |  two | 两位,0.5630252361297607,0.3025210201740265,0.8235294222831726
2,,5.1214428822277114e-05,8.333401679992676,69.19301372965195,61.34797670245351,1.453125,1.453125,1.4494974613189697,2.796875,-0.84765625, creature | creature |  Creature |  animal |  monster, two | 两只 | 两个 | 两位 |  двух,0.6386554837226868,0.5210084319114685,0.756302535533905
3,,11.605155944824219,0.0,17.64501957304601,17.07334846267047,1.453125,1.4453125,1.4494974613189697,2.6875,-0.71875, creature | 最合适 |  odpowied |  animal |  coolest,两只 |  two | 两个 | two |  двух,0.5546218752861023,0.19327731430530548,0.9159663915634155
4,,0.17987552285194397,10.062670707702637,53.904478201588304,53.346560605367024,1.4453125,1.4453125,1.4494974613189697,2.8125,-0.8828125, creature | creature |  Creature |  animal | 🦎, two | 两只 | 两个 | 两位 |  Two,0.7310924530029297,0.7478991746902466,0.7142857313156128
