epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.16108348965644836,1.619598150253296,50.55856119791667,52.172672526041666,1.453125,1.453125,1.4494974613189697,1.96875,0.07568359375, dogs |  mansion |  gates |  lamps |  Dogs, rabbits |  dogs |  rats |  gates |  bathtub,0.43525180220603943,0.316546767950058,0.5539568066596985
2,,0.05742328613996506,0.5291842818260193,35.03125,37.458333333333336,1.453125,1.4453125,1.4494974613189697,1.9765625,0.07275390625, dogs |  mansion |  gates |  Dogs |  puppy, rabbits |  dogs |  rats |  mice |  gates,0.4568345248699188,0.4460431635379791,0.4676258862018585
3,,0.30576416850090027,0.048763953149318695,29.764762369791665,28.681380208333334,1.453125,1.453125,1.4494974613189697,1.9921875,0.058349609375, dogs |  mansion |  puppy |  gates |  Dogs, rabbits |  dogs |  rats |  mice |  lamps,0.5251798629760742,0.5251798629760742,0.5251798629760742
4,,0.2155696600675583,0.054339487105607986,12.844986979166666,12.664192708333333,1.453125,1.453125,1.4494974613189697,2.0,0.048583984375, mansion |  dogs |  gates |  puppy |  kitten, rabbits |  dogs |  rats |  mice |  lamps,0.5611510872840881,0.597122311592102,0.5251798629760742
5,,0.5423605442047119,0.0049389502964913845,17.389515177408853,17.37130126953125,1.453125,1.453125,1.4494974613189697,2.015625,0.0286865234375, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  mice |  rats |  lamps,0.5863309502601624,0.49640288949012756,0.6762589812278748
6,,0.3467794954776764,0.003925283905118704,18.534644571940103,18.671875,1.4453125,1.4453125,1.4494974613189697,2.046875,0.00799560546875, mansion |  puppy |  gates |  kitten |  dogs, rabbits |  dogs |  mice |  rats |  cats,0.6115108132362366,0.5467625856399536,0.6762589812278748
7,,0.28902143239974976,0.002158569172024727,15.577628580729167,15.459635416666666,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.0135498046875, mansion |  puppy |  kitten |  words |  gates, rabbits |  dogs |  mice |  rats |  lamps,0.6474820375442505,0.5395683646202087,0.7553957104682922
8,,0.0696406215429306,0.010219852440059185,7.423695882161458,7.548813883463541,1.453125,1.4453125,1.4494974613189697,2.078125,-0.026611328125, mansion |  puppy |  kitten |  gates |  lizard, rabbits |  dogs |  mice |  cats |  rats,0.6690647602081299,0.6187050342559814,0.7194244861602783
9,,0.0066037243232131,0.0670948475599289,11.137772623697916,11.041743977864583,1.4453125,1.4453125,1.4494974613189697,2.109375,-0.05322265625, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.730215847492218,0.6762589812278748,0.7841726541519165
10,,0.14129164814949036,0.0032824960071593523,2.62364501953125,2.5812174479166665,1.453125,1.453125,1.4494974613189697,2.109375,-0.06298828125, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.6978417038917542,0.5827338099479675,0.8129496574401855
11,,0.007067893631756306,0.0741599053144455,11.069242350260417,11.068291854858398,1.453125,1.4453125,1.4494974613189697,2.125,-0.07861328125, puppy |  kitten |  mansion |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7446042895317078,0.6258992552757263,0.8633093237876892
12,,0.003260404337197542,0.0883622020483017,8.94117431640625,8.923517862955729,1.4453125,1.453125,1.4494974613189697,2.140625,-0.08740234375, puppy |  kitten |  mansion |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7661870718002319,0.6690647602081299,0.8633093237876892
13,,0.3059054911136627,0.0007720181019976735,3.596440633138021,3.543675486246745,1.453125,1.453125,1.4494974613189697,2.140625,-0.09130859375, puppy |  kitten |  mansion |  lizard |  shark, rabbits |  dogs |  lamps |  mice |  cats,0.7050359845161438,0.5467625856399536,0.8633093237876892
14,,0.019467387348413467,0.008730338886380196,10.524767557779947,10.957904561360676,1.453125,1.453125,1.4494974613189697,2.15625,-0.107421875, puppy |  kitten |  lizard |  mansion | 🐺, rabbits |  dogs |  lamps |  mice |  cats,0.701438844203949,0.5467625856399536,0.8561151027679443
15,,0.004648792557418346,0.06683924049139023,5.920247522989909,5.73875077565511,1.453125,1.453125,1.4494974613189697,2.171875,-0.12109375, puppy | 🐺 |  kitten |  lizard |  shark, rabbits |  dogs |  lamps |  mice |  cats,0.7625899314880371,0.633093535900116,0.8920863270759583
16,,0.002510759513825178,0.0406152680516243,8.173527018229167,8.21307544708252,1.453125,1.453125,1.4494974613189697,2.1875,-0.12890625, puppy |  lizard |  kitten |  shark | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7805755138397217,0.6690647602081299,0.8920863270759583
17,,0.013985874131321907,0.03266396373510361,1.6532063802083334,1.646930948893229,1.4453125,1.4453125,1.4494974613189697,2.1875,-0.1376953125, puppy |  lizard |  shark |  kitten | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7625899314880371,0.6258992552757263,0.8992805480957031
18,,0.005036646965891123,0.09490854293107986,5.478037357330322,5.442371241251627,1.453125,1.453125,1.4494974613189697,2.203125,-0.15234375, lizard |  puppy |  shark |  kitten |  mansion, rabbits |  dogs |  mice |  cats | 两只,0.7841726541519165,0.6906474828720093,0.8776978254318237
19,,0.0009056668495759368,0.04677674546837807,6.8324462890625,6.729864247639974,1.4453125,1.453125,1.4494974613189697,2.21875,-0.169921875, lizard |  shark |  puppy |  kitten | 🐺, rabbits |  dogs |  lamps | 两只 |  mice,0.7877697944641113,0.6834532618522644,0.8920863270759583
