epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.9641125202178955,2.4163787364959717,59.46928970304628,57.57586922645569,1.078125,1.078125,1.0794202089309692,1.4296875,0.125, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.48739495873451233,0.18487395346164703,0.7899159789085388
2,,0.187859445810318,0.7214462161064148,51.21476287841797,56.13854166666667,1.0859375,1.078125,1.0794202089309692,1.421875,0.130859375, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5168067216873169,0.38655462861061096,0.6470588445663452
3,,0.2945665419101715,0.10230028629302979,28.555744425455728,32.06197916666667,1.078125,1.078125,1.0794202089309692,1.421875,0.1298828125, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5,0.20168067514896393,0.7983193397521973
4,,0.12530378997325897,0.06918920576572418,23.203302510579427,24.650260416666665,1.078125,1.0859375,1.0794202089309692,1.4296875,0.1259765625, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ᨨ | ⮳,0.5042017102241516,0.21008403599262238,0.7983193397521973
5,,0.024147795513272285,0.11980185657739639,18.741866048177084,19.531380208333335,1.078125,1.078125,1.0794202089309692,1.4296875,0.1201171875, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ⮳ | ᨨ,0.5504201650619507,0.3361344635486603,0.7647058963775635
6,,0.11296055465936661,0.008657446131110191,10.043017578125,10.321158854166667,1.078125,1.078125,1.0794202089309692,1.4375,0.111328125, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ⮳ |  cats,0.5336134433746338,0.22689075767993927,0.8403361439704895
7,,0.003015710972249508,0.20527872443199158,4.896092287699381,4.7642578125,1.078125,1.078125,1.0794202089309692,1.4453125,0.10400390625, |  | ༕ | ﯠ | 𨭉, |  | ࠳ |  cats | ⮳,0.605042040348053,0.4453781545162201,0.7647058963775635
