epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.2973278208904353,0.27124470472335815,0.9529024958610535,61.55726623535156,45.64892488171657,1.1171875,1.1328125,1.0794202089309692,1.453125,0.1611328125, [wugs] |  |  |  dog |  dogs, |  |  dogs |  chairs |  gates,0.9537814855575562,0.9663865566253662,0.9411764740943909
2,1.259732693548661,3.745790719985962,0.000959626748226583,30.7774504472812,25.280935923258465,1.125,1.15625,1.0794202089309692,1.5,0.1416015625, |  |  dog |  [wugs] |  snake, |  |  dogs |  chairs |  cats,0.8907563090324402,0.7899159789085388,0.9915966391563416
3,1.6317765408666787,1.002347707748413,0.0020902862306684256,37.215626413250966,37.23076877630277,1.1328125,1.1640625,1.0794202089309692,1.515625,0.1328125, dog |  |  |  snake |  puppy, |  |  dogs |  chairs |  cats,0.9579831957817078,0.9495798349380493,0.9663865566253662
