epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.406284432268391,0.07180694490671158,0.9528695940971375,79.67712063789368,73.38411156336467,1.4765625,1.484375,1.4494974613189697,1.921875,0.15625, [wugs] |  trees |  woman |  dogs |  bicycle, dogs |  walls |  [wug] |  Dogs |  pigs,0.8739495873451233,0.7647058963775635,0.9831932783126831
2,0.7043383880013986,2.7445266246795654,0.0010639907559379935,20.926195063069464,20.32873979409536,1.4765625,1.5078125,1.4494974613189697,1.9453125,0.150390625, [wugs] |  bicycle |  woman |  dogs |  trees, dogs |  walls |  puppies |  Dogs |  pigs,0.6722689270973206,0.3445378243923187,1.0
3,1.3077798033554398,1.2749314308166504,0.002113759284839034,36.71075423558553,36.582524410883586,1.484375,1.5078125,1.4494974613189697,1.953125,0.146484375, [wugs] |  woman |  bicycle |  dogs |  trees, dogs |  walls |  puppies |  pigs |  Ducks,0.7226890921592712,0.4453781545162201,1.0
4,1.2534604032596308,0.6601271033287048,0.010774051770567894,34.28941269914309,34.358768549126886,1.4921875,1.5078125,1.4494974613189697,1.9609375,0.142578125, [wugs] |  woman |  bicycle |  dogs |  dog, dogs |  walls |  puppies |  pigs |  Ducks,0.8529411554336548,0.7226890921592712,0.9831932783126831
5,1.041738968589641,0.0003107257070951164,2.1828041076660156,28.064026517700405,28.45683836620301,1.5,1.5,1.4494974613189697,1.96875,0.142578125, woman |  bicycle |  [wugs] |  dogs |  dog, dogs |  walls |  puppies |  pigs |  Ducks,0.9327731132507324,0.8907563090324402,0.9747899174690247
6,0.8845875595505353,0.9060781598091125,0.0024580033496022224,16.101236538092294,16.13966503335784,1.4921875,1.515625,1.4494974613189697,1.9765625,0.1376953125, woman |  bicycle |  [wugs] |  dogs |  dog, dogs |  walls |  puppies |  pigs |  Ducks,0.7941176295280457,0.5882353186607361,1.0
7,0.7167588635935392,0.00010740933794295415,1.9046999216079712,14.404073115810752,14.342553544044495,1.5078125,1.5,1.4494974613189697,1.9765625,0.1396484375, woman |  bicycle |  [wugs] |  dogs |  dog, dogs |  walls |  puppies |  pigs |  Ducks,0.9495798349380493,0.9327731132507324,0.9663865566253662
