epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.882936383570389,0.040735796093940735,1.1698933839797974,67.25878092447917,51.00464884440104,1.4765625,1.4765625,1.4494974613189697,1.9609375,0.11962890625, cat |  bird |  woman |  door |  kitten, birds |  cats |  bird |  boys |  horses,0.894957959651947,0.8151260614395142,0.9747899174690247
2,0.559505802574131,0.008516862988471985,1.057656168937683,15.461068725585937,18.079277547200522,1.484375,1.4921875,1.4494974613189697,1.9765625,0.1171875, cat |  bird |  woman |  kitten |  door, birds |  cats |  bird |  boys |  horses,0.9159663915634155,0.8571428656578064,0.9747899174690247
3,1.1437628988076236,1.2051851749420166,0.0009192027500830591,19.58454803501566,19.400859451293947,1.4765625,1.5,1.4494974613189697,1.984375,0.1123046875, bird |  cat |  door |  woman |  kitten, birds |  cats |  bird |  animals |  horses,0.8655462265014648,0.7310924530029297,1.0
4,1.1125691217017541,0.00045058695832267404,1.8540562391281128,30.795378096898396,30.57107320378224,1.4921875,1.4921875,1.4494974613189697,2.0,0.10498046875, cat |  bird |  woman |  kitten |  door, birds |  cats |  bird |  boys |  animals,0.924369752407074,0.8655462265014648,0.9831932783126831
