epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.5761163234710693,0.12998367846012115,69.88960528373718,52.24830729166667,1.453125,1.453125,1.4494974613189697,1.9375,0.107421875, walls |  Walls |  gates | _door |  cats,widgets |  rocks | devices |  gates | _rooms,0.5,0.016806723549962044,0.9831932783126831
2,,0.09368497133255005,0.21232394874095917,42.58619791666667,40.4296875,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.09619140625, Walls |  walls |  gates | _door | (cat,widgets |  rocks | devices |  dolls |  pigs,0.5504201650619507,0.13445378839969635,0.9663865566253662
3,,0.009326944127678871,0.5233415961265564,32.67233072916667,33.24215494791667,1.453125,1.453125,1.4494974613189697,1.984375,0.0595703125, Walls |  walls |  gates | _door | (cat,widgets |  pigs |  rocks |  rabbits |  dolls,0.5882353186607361,0.23529411852359772,0.9411764740943909
4,,0.03670386224985123,0.10963653028011322,19.529500325520832,18.597054036458335,1.453125,1.453125,1.4494974613189697,2.0,0.04345703125, Walls |  walls |  gates | _door | (cat,widgets |  pigs |  rocks |  rabbits |  dolls,0.6344537734985352,0.27731093764305115,0.9915966391563416
5,,0.03005833365023136,0.032554879784584045,21.153340148925782,21.2067626953125,1.4453125,1.4453125,1.4494974613189697,2.046875,0.009765625, Walls |  walls | _door |  gates |  doors,widgets |  pigs |  rocks |  rabbits |  dolls,0.605042040348053,0.23529411852359772,0.9747899174690247
6,,0.45189031958580017,0.001129919895902276,3.447981770833333,3.780281575520833,1.453125,1.453125,1.4494974613189697,2.046875,0.00115203857421875, Walls |  walls | _door |  gates |  doors, pigs | widgets |  rabbits |  dolls |  rocks,0.5798319578170776,0.16806723177433014,0.9915966391563416
7,,0.010772681795060635,0.04796017333865166,15.409063720703125,14.987012918790182,1.4453125,1.453125,1.4494974613189697,2.078125,-0.032470703125, Walls |  walls | _door |  gates | Creature, pigs |  rabbits | widgets |  dolls | 孩子们,0.6554622054100037,0.36974790692329407,0.9411764740943909
8,,0.008212806656956673,0.02967383898794651,12.297217528025309,12.119010925292969,1.453125,1.453125,1.4494974613189697,2.109375,-0.061279296875, Walls |  walls | _door |  gates | Creature, pigs |  rabbits |  dolls | widgets | 孩子们,0.668067216873169,0.36974790692329407,0.9663865566253662
9,,0.012798543088138103,0.03024199977517128,2.626453653971354,2.694302495320638,1.453125,1.453125,1.4494974613189697,2.125,-0.0673828125, Walls |  walls | _door |  gates | Creature, pigs |  rabbits |  dolls | widgets | 孩子们,0.668067216873169,0.36974790692329407,0.9663865566253662
10,,0.003826293395832181,0.018728386610746384,10.061895702282587,10.01209961573283,1.453125,1.453125,1.4494974613189697,2.15625,-0.1015625, Walls |  walls |  creature | _door | Creature, rabbits |  pigs | 💑 |  dolls | 孩子们,0.6974790096282959,0.4453781545162201,0.9495798349380493
