epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.3881354033946991,0.28911980986595154,58.37147615750631,51.87578125,1.453125,1.453125,1.4494974613189697,1.953125,0.095703125, cats |  dogs |  houses | 狗狗 |  burger, cats |  girls |  birds |  kids |  lamps,0.7913669347763062,0.6690647602081299,0.9136690497398376
2,,0.22676317393779755,0.03991355746984482,32.74036458333333,31.104622395833335,1.4453125,1.4453125,1.4494974613189697,1.953125,0.0888671875, cats |  dogs |  houses | 狗狗 |  dog, cats |  birds |  girls |  kids |  lamps,0.8057553768157959,0.6978417038917542,0.9136690497398376
3,,0.4164959788322449,0.003024995094165206,16.98828125,15.55517578125,1.453125,1.453125,1.4494974613189697,1.984375,0.06884765625, cats |  creature |  dogs |  dog |  houses, cats |  birds |  girls |  kids | 孩子们,0.8165467381477356,0.6978417038917542,0.935251772403717
4,,0.381854772567749,0.002755498979240656,24.89947764078776,24.37418842315674,1.453125,1.453125,1.4494974613189697,2.015625,0.033447265625, creature | creature |  burger |  gnome |  dog, cats |  birds |  girls | 孩子们 |  kids,0.8129496574401855,0.6906474828720093,0.935251772403717
5,,0.0026003073435276747,0.23654432594776154,3.973250325520833,3.7432179768880207,1.4453125,1.453125,1.4494974613189697,2.03125,0.0162353515625, creature | creature |  dog |  gnome | 狗狗, cats |  birds |  girls | 孩子们 |  два,0.8417266011238098,0.7913669347763062,0.8920863270759583
