epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.9956903457641602,0.3278735280036926,61.39329427083333,54.39782867431641,1.4453125,1.4453125,1.4494974613189697,1.953125,0.08837890625, doors |  cats |  door |  dogs |  Cats, birds |  cats | doors |  rats |  dogs,0.6438848972320557,0.3956834673881531,0.8920863270759583
2,,0.016716016456484795,1.2496376037597656,38.647135416666664,37.79300130208333,1.453125,1.4453125,1.4494974613189697,1.9609375,0.08642578125, doors |  door |  cats | _door |  dogs, birds |  cats |  rats |  dogs | doors,0.8525179624557495,0.8129496574401855,0.8920863270759583
3,,0.011552107520401478,0.5857205390930176,32.36103515625,31.312760416666666,1.453125,1.4453125,1.4494974613189697,1.984375,0.0634765625, doors |  door | _door |  Door |  cats, birds |  cats |  dogs |  rabbits |  rats,0.8633093237876892,0.8057553768157959,0.9208633303642273
