epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.831787008667986,2.9063034057617188,0.9928732514381409,96.2345827738444,79.1485673433713,1.09375,1.1015625,1.0794202089309692,1.4296875,0.1484375, door |  |  |  birds |  doors, trees |  cats |  books |  [wug] |  pessoas,0.5252100825309753,0.05042016878724098,1.0
2,1.280188130007203,0.07563699036836624,0.7410919666290283,68.97989501953126,49.4167973836263,1.109375,1.109375,1.0794202089309692,1.4375,0.158203125, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.680672287940979,0.3613445460796356,1.0
3,0.5320559836865868,0.039808642119169235,0.7259846925735474,40.127801513671876,36.64627329508463,1.109375,1.109375,1.0794202089309692,1.4375,0.16015625, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.7226890921592712,0.4453781545162201,1.0
4,0.6448783151941219,0.6883911490440369,0.01311178132891655,35.68867950439453,33.272894287109374,1.109375,1.1171875,1.0794202089309692,1.4453125,0.1591796875, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.6848739385604858,0.36974790692329407,1.0
5,0.6484779479435626,0.011821690946817398,0.6726303100585938,34.72780418395996,33.97102661132813,1.1171875,1.1171875,1.0794202089309692,1.4453125,0.158203125, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.7941176295280457,0.5882353186607361,1.0
6,0.5129936312924352,0.015860311686992645,0.570507824420929,27.258240191141763,26.98047307332357,1.1171875,1.1171875,1.0794202089309692,1.4453125,0.158203125, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.8151260614395142,0.6302521228790283,1.0
7,0.5325472811156335,0.00647165859118104,0.7674937844276428,26.9109130859375,26.427903620402017,1.1171875,1.1171875,1.0794202089309692,1.453125,0.158203125, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.8529411554336548,0.7058823704719543,1.0
8,0.7324656206288637,0.022103220224380493,0.474194198846817,37.953200713793436,37.64874954223633,1.1171875,1.1171875,1.0794202089309692,1.453125,0.1572265625, door |  [wugs] |  |  | ᨾ, cats |  [wug] |  books |  trees |  dogs,0.8025209903717041,0.605042040348053,1.0
9,0.37947094736470416,0.7110245227813721,0.007249722722917795,20.046827467282615,19.826722208658854,1.1171875,1.125,1.0794202089309692,1.453125,0.1552734375, door |  [wugs] |  |  | ᨾ, cats |  books |  [wug] |  trees |  dogs,0.7521008253097534,0.5042017102241516,1.0
10,0.5415672175066599,0.7116362452507019,0.006786270532757044,25.67330182393392,25.625550333658854,1.1171875,1.125,1.0794202089309692,1.4609375,0.1552734375, door |  [wugs] |  |  | ᨾ, cats |  books |  [wug] |  trees |  dogs,0.7352941036224365,0.47058823704719543,1.0
11,0.2419203161014593,1.1108494997024536,0.0012215693714097142,13.394184557596843,13.161149215698241,1.1171875,1.1328125,1.0794202089309692,1.4609375,0.15234375, door |  |  |  [wugs] | ᨾ, cats |  books |  trees |  dogs |  [wug],0.7142857313156128,0.4285714328289032,1.0
12,0.6919353862357942,0.004348708316683769,0.8080708980560303,31.742305437723797,31.640038299560548,1.125,1.125,1.0794202089309692,1.4609375,0.15234375, door |  |  |  [wugs] |  fence, cats |  books |  trees |  dogs |  [wug],0.8613445162773132,0.7226890921592712,1.0
