epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.24971438817535,0.5349112153053284,0.03366849571466446,84.203564675649,79.08039519402082,1.1171875,1.140625,1.0794202089309692,1.4765625,0.1494140625, dogs |  |  |  [wugs] | Usuario, birds |  dogs |  cars |  flowers |  cows,0.9453781247138977,0.924369752407074,0.9663865566253662
2,1.0533976534047724,2.461254596710205,0.0028857619035989046,35.400710900624595,32.96571750541528,1.125,1.1640625,1.0794202089309692,1.5,0.1357421875, |  |  dogs | Usuario | شخص, birds |  dogs |  cars |  flowers |  cows,0.9159663915634155,0.831932783126831,1.0
3,1.338889974020344,0.0019199481466785073,2.0007641315460205,22.784178523222604,22.615803719319715,1.1328125,1.1640625,1.0794202089309692,1.5234375,0.1259765625, dogs |  |  | شخص | Usuario, birds |  dogs |  cars |  flowers |  cows,0.9579831957817078,0.9579831957817078,0.9579831957817078
