epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.620043992996216,0.0020727268420159817,45.33590494791667,39.90992914835612,1.078125,1.078125,1.0794202089309692,1.4609375,0.08154296875, |  | ⴳ |  ducks | ᨄ, |  |  cars |  trees |  doors,0.5546218752861023,0.1260504275560379,0.9831932783126831
2,,0.15816126763820648,0.012048108503222466,19.6902587890625,20.040201822916668,1.078125,1.078125,1.0794202089309692,1.484375,0.052001953125, |  | ⴳ | 묄 | ᨄ, cars |  trees |  |  |  doors,0.5672268867492676,0.36974790692329407,0.7647058963775635
3,,0.005301008932292461,0.05298750847578049,15.07899249792099,15.364336903889974,1.078125,1.078125,1.0794202089309692,1.515625,0.014404296875, |  | ⴳ | ᨄ | 묄, cars |  trees |  |  |  ladies,0.605042040348053,0.5378151535987854,0.6722689270973206
4,,0.4486277997493744,0.059130825102329254,9.314415390541155,9.242112159729004,1.0859375,1.078125,1.0794202089309692,1.5390625,-0.019775390625, |  | ⴳ | ᨄ | 묄, cars |  trees |  |  |  dogs,0.6218487620353699,0.2857142984867096,0.9579831957817078
5,,0.001343296142295003,0.18072673678398132,20.058730370768657,19.823119219144186,1.078125,1.078125,1.0794202089309692,1.5625,-0.049560546875, |  | ᨄ | ⴳ | 묄, cars |  trees |  ladies |  girls | ,0.7478991746902466,0.6386554837226868,0.8571428656578064
6,,0.11660071462392807,0.0003174112061969936,12.840280814900659,12.476538515090942,1.078125,1.078125,1.0794202089309692,1.5859375,-0.07861328125, |  | ⴳ | ᨄ | 묄, cars |  trees |  girls |  ladies |  birds,0.6848739385604858,0.40336135029792786,0.9663865566253662
7,,0.00013421500625554472,0.16061212122440338,13.368718552395391,13.02731598218282,1.078125,1.078125,1.0794202089309692,1.609375,-0.1103515625, |  | ᨄ | ⴳ |  frog, cars |  trees | 两家 |  girls |  birds,0.8235294222831726,0.8067227005958557,0.8403361439704895
