epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.14186325669288635,2.494699239730835,68.78333333333333,50.27484557727973,1.4453125,1.453125,1.4494974613189697,1.9296875,0.11083984375, chairs |  doors |  gates |  cats |  roads, cats |  cows |  dogs |  chickens |  rabbits,0.5126050710678101,0.9831932783126831,0.042016807943582535
2,,0.026760365813970566,0.9338984489440918,40.070963541666664,38.755078125,1.453125,1.4453125,1.4494974613189697,1.9375,0.10595703125, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  rabbits |  chickens,0.5462185144424438,0.9663865566253662,0.1260504275560379
3,,0.031040122732520103,0.5371716618537903,22.606380208333334,22.195052083333334,1.453125,1.4453125,1.4494974613189697,1.953125,0.0927734375, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  rabbits |  chickens,0.575630247592926,0.9495798349380493,0.20168067514896393
4,,0.25071561336517334,0.07475410401821136,20.507454427083335,19.414127604166666,1.453125,1.4453125,1.4494974613189697,1.9765625,0.07177734375, chairs |  doors |  roads |  gates | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.6302521228790283,0.848739504814148,0.4117647111415863
5,,0.048879168927669525,0.06546483933925629,16.108780924479166,16.085286458333332,1.4453125,1.453125,1.4494974613189697,1.984375,0.060302734375, doors |  chairs |  roads |  gates | 貓, cats |  cows |  rabbits |  dogs |  birds,0.6386554837226868,0.8991596698760986,0.3781512677669525
6,,0.15307095646858215,0.02774590253829956,16.279109700520834,16.057145182291666,1.453125,1.4453125,1.4494974613189697,2.015625,0.041015625, doors |  gates |  roads |  chairs | 貓, cats |  cows |  rabbits |  dogs |  birds,0.7142857313156128,0.8571428656578064,0.5714285969734192
7,,0.07638189941644669,0.03260321170091629,19.341402180989583,19.16053670247396,1.453125,1.453125,1.4494974613189697,2.03125,0.0216064453125, doors |  roads |  gates |  chairs | 貓, cats |  cows |  rabbits |  dogs |  birds,0.7647058963775635,0.848739504814148,0.680672287940979
8,,0.32015570998191833,0.005035748239606619,9.55635986328125,9.499275716145833,1.453125,1.4453125,1.4494974613189697,2.046875,0.009033203125, roads |  doors |  chairs | 貓 |  gates, cats |  cows |  rabbits |  dogs |  birds,0.7899159789085388,0.8151260614395142,0.7647058963775635
9,,0.022926481440663338,0.025040972977876663,10.366175333658854,10.356005859375,1.453125,1.4453125,1.4494974613189697,2.046875,0.00445556640625, roads |  doors |  gates |  chairs | ᠠ, cats |  cows |  rabbits |  dogs |  birds,0.7773109078407288,0.831932783126831,0.7226890921592712
10,,0.013362141326069832,0.08022051304578781,8.72432149251302,8.682387288411459,1.453125,1.453125,1.4494974613189697,2.0625,-0.0128173828125, roads |  doors |  gates | ᠠ |  chairs, cats |  cows |  rabbits |  dogs |  birds,0.7899159789085388,0.8235294222831726,0.756302535533905
11,,0.10801980644464493,0.003445254173129797,7.917844645182291,7.901727294921875,1.453125,1.453125,1.4494974613189697,2.078125,-0.0284423828125, roads |  doors | ᠠ |  gates | 貓, cats |  cows |  rabbits |  twins |  dogs,0.8151260614395142,0.8067227005958557,0.8235294222831726
12,,0.6933678984642029,0.0002040657273028046,9.463700358072916,9.523496500651042,1.4453125,1.453125,1.4494974613189697,2.09375,-0.047607421875, roads |  doors | ᠠ | 貓 |  gates, cats |  cows |  rabbits |  twins |  dogs,0.831932783126831,0.7226890921592712,0.9411764740943909
