epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.05540568754076958,0.12940628826618195,51.13671875,53.535407129923506,1.078125,1.078125,1.0794202089309692,1.4296875,0.1181640625, |  | ﭓ | ﰴ | 䨰, phones |  |  | 홛 |  chairs,0.8571428656578064,0.7815126180648804,0.9327731132507324
2,,1.2509956359863281,0.00036447824095375836,28.265568033854166,29.196807861328125,1.078125,1.078125,1.0794202089309692,1.46875,0.068359375, |  | ﭓ | ﰴ | 䨰, phones |  |  chicks |  |  cats,0.6638655662536621,0.3361344635486603,0.9915966391563416
3,,0.0038773231208324432,0.0148890670388937,25.017818514506022,24.399932607014975,1.078125,1.078125,1.0794202089309692,1.5078125,0.0281982421875, |  | ﭓ | 䨺 | 䨰, phones |  chicks |  |  |  cats,0.8823529481887817,0.8235294222831726,0.9411764740943909
