epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,17.325850923915258,7.028659343719482,0.0015197425382211804,67.80262352807307,64.01173781399118,1.578125,1.578125,1.0794202089309692,2.515625,-0.279296875, rabbit | 	child |  mouse |  handjob |  mare, dogs |  animals |  cows |  customers |  cars,0.6218487620353699,0.24369747936725616,1.0
2,7.010097115047938,0.0,9.81250286102295,36.99977608174238,37.00001493133605,1.96875,1.96875,1.0794202089309692,3.453125,-0.53515625, mouse |  kitten |  squirrel |  girl | _mouse, animals |  dogs |  students |  rats |  rabbits,0.605042040348053,0.3193277418613434,0.8907563090324402
3,9.040035123641912,26.715457916259766,0.0,31.404817708333333,31.394078397750853,2.203125,2.3125,1.0794202089309692,4.09375,-0.65234375, handjob |  woman |  blowjob | 	child |  הילד, animals |  students |  flowers |  dogs |  cows,0.5630252361297607,0.1260504275560379,1.0
4,9.89247161547343,19.862499237060547,0.0,30.733333333333334,30.666666846474012,2.484375,2.546875,1.0794202089309692,4.6875,-0.72265625, handjob |  המבקש |  tablespoon |  может |  teaspoon, animals |  students |  dogs |  customers |  flowers,0.651260495185852,0.31092438101768494,0.9915966391563416
5,12.470972355206808,20.799999237060547,0.0,25.86250000007373,30.9,2.515625,2.75,1.0794202089309692,4.84375,-0.69921875, handjob |  המבקש |  woman |  может |  blowjob, animals |  flowers |  students |  dogs |  customers,0.6428571343421936,0.3025210201740265,0.9831932783126831
6,12.3046875,0.0,18.575000762939453,31.666666666666668,31.66666666857588,2.59375,2.671875,1.0794202089309692,4.84375,-0.69921875, mouse |  horse |  girl |  kitten |  frog, animals |  flowers |  dogs |  customers | 孩子们,0.651260495185852,0.8655462265014648,0.43697479367256165
7,10.218768628438314,0.0,21.556249618530273,36.96666666666689,36.966666682685414,2.9375,3.046875,1.0794202089309692,5.625,-0.76953125, kitten |  kite |  girl |  woman |  horse, animals |  customers |  students |  dogs |  flowers,0.651260495185852,0.9915966391563416,0.31092438101768494
8,7.508333333333334,0.0,19.340625762939453,12.666666666666666,12.66666666666667,2.921875,3.046875,1.0794202089309692,5.625,-0.76953125, kitten |  kite |  girl |  woman |  horse, animals |  customers |  students |  dogs |  flowers,0.651260495185852,0.9915966391563416,0.31092438101768494
9,9.972916666666666,17.174999237060547,0.0,19.0,19.000000001319375,2.859375,3.109375,1.0794202089309692,5.625,-0.76953125, handjob |  המבקש |  dildo |  kite |  woman, students |  animals |  flowers |  dogs |  customers,0.6974790096282959,0.529411792755127,0.8655462265014648
10,14.794791666666667,10.0,0.0,25.333333333333332,25.33333333333334,2.859375,3.078125,1.0794202089309692,5.59375,-0.765625, handjob |  המבקש |  dildo |  kitten |  kite, students |  animals |  flowers |  customers |  dogs,0.7478991746902466,0.7058823704719543,0.7899159789085388
