epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.2560502886772156,0.04718709737062454,57.27209676106771,65.94759114583333,1.078125,1.078125,1.0794202089309692,1.4609375,0.087890625, |  | ﮇ | 걜 | 걘, dogs | 𓏸 |  |  | ﯡ,0.4831932783126831,0.15126051008701324,0.8151260614395142
2,,0.0011983758304268122,0.52986741065979,30.71446679433187,29.912434895833332,1.078125,1.0859375,1.0794202089309692,1.4921875,0.0498046875, |  | ﮇ | 걜 | ﱀ, dogs |  |  | 𓏸 | 쏩,0.6722689270973206,0.4285714328289032,0.9159663915634155
3,,0.13027381896972656,0.0019345314940437675,5.2477366129557295,4.973612467447917,1.078125,1.078125,1.0794202089309692,1.4921875,0.044677734375, |  | ﮇ | ﱀ | 굄, dogs |  |  | 𓏸 | 픠,0.5042017102241516,0.02521008439362049,0.9831932783126831
4,,0.03387703001499176,0.001591103384271264,12.825649404525757,12.655814739068349,1.078125,1.078125,1.0794202089309692,1.5234375,0.0013275146484375, |  | ﮇ | 굄 | ﱀ, dogs |  |  | 𓏸 | 픠,0.5630252361297607,0.15126051008701324,0.9747899174690247
5,,0.003929066471755505,0.004779560957103968,4.0388147582610445,3.884128520451486,1.078125,1.078125,1.0794202089309692,1.546875,-0.03125, |  | ﮇ | 굄 | ﱀ, dogs |  birds |  rats |  | ,0.6176470518112183,0.26050421595573425,0.9747899174690247
6,,2.412142276763916,3.206708015568438e-06,18.1813767294089,18.095341022560994,1.078125,1.078125,1.0794202089309692,1.59375,-0.0908203125, |  | 굄 | ﮇ | ﱀ, dogs |  birds |  | 픠 | ,0.5,0.0,1.0
7,,0.0004301095032133162,0.013960008509457111,6.298402882623487,5.998867191871008,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1181640625, |  | ﮇ | 굄 | ﯕ, dogs |  birds |  двух |  rats |  Dogs,0.7478991746902466,0.5126050710678101,0.9831932783126831
8,,0.005400772672146559,0.00032833387376740575,0.4927322089672089,0.5190492808818817,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1201171875, |  | 굄 | ﮇ | ﯕ, dogs |  birds |  двух |  rats |  cats,0.6218487620353699,0.2521008551120758,0.9915966391563416
9,,0.0003417521947994828,0.010340793989598751,1.2557003724078337,1.201546871289611,1.078125,1.078125,1.0794202089309692,1.65625,-0.1806640625, | ﮇ |  | 굄 | ﯕ, dogs |  birds |  двух |  cats |  rats,0.8109243512153625,0.680672287940979,0.9411764740943909
10,,1.0103256702423096,8.5830623675065e-07,0.4064127574364344,0.42578555846315186,1.078125,1.078125,1.0794202089309692,1.671875,-0.2041015625,ﮇ | 굄 |  |  | ﯕ, dogs |  двух |  birds |  cats |  TWO,0.5714285969734192,0.15126051008701324,0.9915966391563416
11,,0.0015592180425301194,0.00015910042566247284,11.0335356956651,10.792549115543078,1.078125,1.078125,1.0794202089309692,1.703125,-0.2470703125,ﮇ |  | 굄 |  | 𥕢, dogs |  двух |  birds |  cats |  TWO,0.7100840210914612,0.47058823704719543,0.9495798349380493
12,,0.0005576365510933101,0.00032375240698456764,0.18333324728300796,0.13711722195148468,1.078125,1.078125,1.0794202089309692,1.703125,-0.2490234375,ﮇ |  | 굄 |  | ﯕ, dogs |  двух |  birds |  cats |  TWO,0.7605041861534119,0.6218487620353699,0.8991596698760986
13,,7.061036740196869e-05,0.0007728926138952374,0.04448493117621789,0.042809574181834856,1.078125,1.078125,1.0794202089309692,1.7109375,-0.25,ﮇ |  |  | 굄 | ﯕ, dogs |  двух |  birds |  cats |  TWO,0.7773109078407288,0.6890756487846375,0.8655462265014648
14,,4.61333047496737e-06,0.13204078376293182,3.378479795747747,3.306665381292502,1.078125,1.078125,1.0794202089309692,1.75,-0.3125,ﮇ | ﯕ | 굄 | 𐰰 | 𥕢, dogs |  двух |  birds |  deux |  TWO,0.831932783126831,0.8235294222831726,0.8403361439704895
