epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.199592167449494,2.032712459564209,0.3078153431415558,68.65528462727865,63.03874992206693,1.46875,1.4765625,1.4494974613189697,1.921875,0.1474609375, cats |  [wugs] |  persons | 猫咪 | 兔子, dogs |  gates |  stones |  [wug] |  bushes,0.6474820375442505,0.4100719392299652,0.8848921060562134
2,0.6182945727210608,0.8868460059165955,0.009380439296364784,29.66089299519857,22.99387003580729,1.484375,1.4921875,1.4494974613189697,1.9375,0.15234375, cats |  [wugs] | 猫咪 |  persons | 兔子, dogs |  [wug] |  gates |  stones |  bushes,0.7733812928199768,0.6043165326118469,0.9424460530281067
3,0.8689171323672781,0.4582810699939728,0.026849858462810516,23.848805809020995,23.235592993100486,1.484375,1.4921875,1.4494974613189697,1.9375,0.15234375, cats |  [wugs] | 猫咪 |  persons | 兔子, dogs |  [wug] |  gates |  stones |  cats,0.7661870718002319,0.5755395889282227,0.9568345546722412
4,0.7608034242966217,0.7647441625595093,0.005979232955724001,20.921610641479493,20.839821116129556,1.484375,1.4921875,1.4494974613189697,1.9453125,0.1513671875, cats |  [wugs] | 猫咪 |  persons |  rabbit, dogs |  [wug] |  gates |  stones |  cats,0.7841726541519165,0.6115108132362366,0.9568345546722412
5,1.030881482881523,0.813054084777832,0.004764591343700886,31.189483642578125,30.95850569407145,1.484375,1.5,1.4494974613189697,1.9453125,0.150390625, cats |  [wugs] | 猫咪 |  persons | 兔子, dogs |  [wug] |  gates |  stones |  cats,0.7877697944641113,0.6187050342559814,0.9568345546722412
6,0.827239098331908,0.8135257959365845,0.004118012264370918,23.361650784810383,23.193525060017905,1.4921875,1.5,1.4494974613189697,1.953125,0.1474609375, cats | 猫咪 |  [wugs] |  persons |  rabbit, dogs |  gates |  stones |  [wug] |  cats,0.7769784331321716,0.597122311592102,0.9568345546722412
7,0.9260785993144357,0.0009150637779384851,1.2071912288665771,26.89020538330078,26.84840959707896,1.5,1.4921875,1.4494974613189697,1.953125,0.146484375, cats | 猫咪 |  [wugs] |  rabbit |  persons, dogs |  gates |  stones |  [wug] |  cats,0.8201438784599304,0.7050359845161438,0.935251772403717
