epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,8.195148249467215,7.567785739898682,3.760639190673828,88.9702284514904,88.12026713689168,1.0859375,1.0859375,1.0794202089309692,1.4296875,0.1298828125, |  |  trees | ﯡ | ᥤ, doors |  cars |  corners |  dogs |  gates,0.743697464466095,0.8067227005958557,0.680672287940979
2,4.4821273103356365,3.7088160514831543,2.0771982669830322,83.32286796569824,78.51934452056885,1.09375,1.09375,1.0794202089309692,1.4375,0.13671875, |  trees |  | ﯡ | ᥤ, cars |  doors |  dogs |  corners |  gates,0.7815126180648804,0.8823529481887817,0.680672287940979
3,2.374037884672483,1.9261680841445923,1.271986484527588,70.18270568847656,65.87400817871094,1.1015625,1.09375,1.0794202089309692,1.4375,0.1435546875, trees |  |  |  [wugs] | ﯡ, cars |  doors |  dogs |  corners | ,0.8109243512153625,0.8823529481887817,0.7394958138465881
4,1.458483348786831,1.1661417484283447,0.6946560144424438,59.40953776041667,53.36844482421875,1.1015625,1.1015625,1.0794202089309692,1.4375,0.1474609375, trees |  |  |  [wugs] | ﯡ, cars |  doors |  dogs |  corners | ,0.8235294222831726,0.831932783126831,0.8151260614395142
5,0.8930650484127303,0.6655683517456055,0.36759236454963684,50.76573893229167,47.1541015625,1.109375,1.1015625,1.0794202089309692,1.4453125,0.1513671875, [wugs] |  trees |  |  | ﯡ, cars |  doors |  dogs |  corners |  [wug],0.8361344337463379,0.7731092572212219,0.8991596698760986
6,0.5580597876105458,0.31743744015693665,0.3478643298149109,42.380126953125,41.488932291666664,1.1171875,1.1015625,1.0794202089309692,1.4453125,0.1533203125, [wugs] |  |  trees |  | ﯡ, cars |  doors |  dogs |  corners |  [wug],0.8403361439704895,0.7731092572212219,0.9075630307197571
