epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.886934995651245,0.0007857534801587462,51.728080940246585,59.45478515625,1.078125,1.078125,1.0794202089309692,1.4140625,0.1357421875, |  | Coords | ﭕ | ﭞ, dogs |  cats |  |  |  houses,0.5084033608436584,0.016806723549962044,1.0
2,,0.33205080032348633,0.0035217110998928547,20.605565388997395,19.975390625,1.078125,1.078125,1.0794202089309692,1.4296875,0.1181640625, |  | Coords | ﭕ | ﭞ, dogs |  cats |  houses |  | ,0.5210084319114685,0.042016807943582535,1.0
3,,0.022617507725954056,0.02889534831047058,12.886363220214843,12.641011079152426,1.0859375,1.078125,1.0794202089309692,1.453125,0.095703125, |  | Coords | ﭕ | 𓃰, dogs |  cats |  houses |  lamps | ,0.5588235259056091,0.11764705926179886,1.0
4,,0.01857631281018257,0.0027088006027042866,18.714355580012004,18.87898915608724,1.078125,1.078125,1.0794202089309692,1.4921875,0.043212890625, |  | Coords | ﭕ | ﴽ, dogs |  cats |  houses |  lamps | ,0.6596638560295105,0.32773110270500183,0.9915966391563416
5,,2.0743765830993652,1.3458498870022595e-05,2.4119103049316135,2.2896032333374023,1.078125,1.078125,1.0794202089309692,1.5,0.03076171875, |  | Coords |  chicken | בלע, dogs |  cats |  houses |  | ,0.5504201650619507,0.10084033757448196,1.0
6,,0.0018559300806373358,0.0027023276779800653,5.841005198160807,5.837546793619792,1.078125,1.078125,1.0794202089309692,1.5234375,0.0042724609375, |  | Coords |  lizard |  chicken, dogs |  cats |  houses |  computers |  lamps,0.8613445162773132,0.756302535533905,0.9663865566253662
7,,0.029907360672950745,0.0012852837098762393,1.169898478190104,1.1448658681785067,1.078125,1.078125,1.0794202089309692,1.546875,-0.0284423828125, |  | Coords |  chicken |  lizard, dogs |  cats |  houses |  computers |  trees,0.8277310729026794,0.6974790096282959,0.9579831957817078
8,,0.00021883824956603348,0.05535433441400528,1.2459800615906715,1.1872667076687018,1.078125,1.078125,1.0794202089309692,1.5859375,-0.0791015625, |  |  lizard |  chicken | Coords, dogs |  cats |  houses |  computers |  trees,0.8739495873451233,0.848739504814148,0.8991596698760986
9,,0.0006088285008445382,0.012433027848601341,8.537970924377442,8.642371360957622,1.078125,1.078125,1.0794202089309692,1.6015625,-0.103515625, |  |  lizard |  chicken |  kitten, dogs |  cats |  computers |  houses |  horses,0.8823529481887817,0.848739504814148,0.9159663915634155
10,,0.0025830091908574104,0.0006317832740023732,1.4318345348040262,1.478451827610843,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12890625, |  |  lizard |  chicken | (child, dogs |  cats |  computers | 两只 |  horses,0.8865545988082886,0.831932783126831,0.9411764740943909
