epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.023805564269423485,3.2066688537597656,53.575984191894534,53.542057291666666,1.453125,1.4453125,1.4494974613189697,1.9375,0.10546875, chairs |  fences |  shoes |  fence |  Animals,stars |  trees |  cats |  elephants |  chairs,0.17226891219615936,0.29411765933036804,0.05042016878724098
2,,0.12351512908935547,0.1983496993780136,54.00729166666667,53.406591796875,1.453125,1.4453125,1.4494974613189697,1.953125,0.08935546875, chairs |  fences |  shoes |  fence |  chair, trees | stars |  cats |  elephants |  cars,0.16806723177433014,0.1260504275560379,0.21008403599262238
3,,0.17989309132099152,0.3413519859313965,27.73134765625,27.13427734375,1.453125,1.4453125,1.4494974613189697,1.984375,0.06591796875, chairs |  fences |  shoes |  creature | vehicle, trees |  cats | stars |  elephants |  cars,0.22689075767993927,0.19327731430530548,0.26050421595573425
4,,0.3443012535572052,0.006343530956655741,29.93203125,30.303385416666668,1.4453125,1.453125,1.4494974613189697,2.015625,0.036376953125, creature |  fences |  chairs |  thing |  Creature, cats |  elephants |  trees | stars |  cars,0.49159663915634155,0.19327731430530548,0.7899159789085388
5,,0.01627172902226448,0.04346508905291557,15.127238464355468,13.882323201497396,1.453125,1.453125,1.4494974613189697,2.03125,0.0169677734375, creature |  Creature |  thing |  chairs |  fences, cats |  elephants |  trees |  cars | stars,0.6764705777168274,0.462184876203537,0.8907563090324402
6,,0.0934298187494278,0.20846407115459442,9.996689860026041,9.949051920572916,1.4453125,1.453125,1.4494974613189697,2.0625,-0.01239013671875, creature |  Creature |  thing | vehicle |  Thing, cats |  elephants |  cars |  birds |  dogs,0.6890756487846375,0.5126050710678101,0.8655462265014648
7,,0.27430811524391174,0.0039056800305843353,19.662377421061198,19.715584818522135,1.453125,1.4453125,1.4494974613189697,2.09375,-0.041015625, creature |  Creature |  thing |  animal | vehicle, cats |  elephants |  trees |  cars |  birds,0.6596638560295105,0.3781512677669525,0.9411764740943909
8,,0.25151360034942627,0.002697979798540473,13.016805267333984,12.988749186197916,1.453125,1.453125,1.4494974613189697,2.109375,-0.06103515625, creature |  Creature |  thing | vehicle |  attendee, cats |  elephants |  birds |  cars | 两只,0.6848739385604858,0.4117647111415863,0.9579831957817078
9,,0.8615881204605103,0.0003123055794276297,12.995662522315978,12.900936381022136,1.453125,1.453125,1.4494974613189697,2.140625,-0.08837890625, creature |  Creature |  thing |  animal |  attendee, cats |  elephants | 两只 |  birds |  cars,0.6554622054100037,0.3361344635486603,0.9747899174690247
10,,0.026263993233442307,0.014606641605496407,14.662705564498902,14.432438468933105,1.4453125,1.453125,1.4494974613189697,2.15625,-0.1103515625, creature |  Creature |  animal |  thing |  attendee, cats | 两只 |  elephants |  birds |  cars,0.7521008253097534,0.5378151535987854,0.9663865566253662
11,,0.11173856258392334,0.0026262339670211077,3.9634695370992024,3.8996917724609377,1.453125,1.4453125,1.4494974613189697,2.171875,-0.123046875, creature |  Creature |  animal |  thing |  attendee, cats | 两只 |  elephants |  birds |  cars,0.756302535533905,0.5210084319114685,0.9915966391563416
