epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,24.470537428060513,7.947281233100512e-08,12.137499809265137,62.066701761882314,57.23336258803029,4.15625,4.34375,1.4494974613189697,8.0625,-0.80078125, woman |  rabbit |  thinker |  personne |  believer, cats |  eggs |  kittens |  dogs |  puppies,0.6218487620353699,0.9075630307197571,0.3361344635486603
2,33.5921907464663,0.0,25.735448837280273,35.600005849202475,35.60000000683092,5.8125,5.8125,1.4494974613189697,11.3125,-0.890625, rabbit |  woman |  girl |  frog |  spectator,孩子们 | 	users | (users |  students |  animals,0.5420168042182922,0.48739495873451233,0.5966386795043945
3,20.102882941563923,0.0,50.295833587646484,20.5,21.53333333333369,6.8125,6.75,1.4494974613189697,13.3125,-0.91796875, woman |  rabbit |  girl |  believer |  protagonist,	users | (users | 孩子们 |  animals | 同学们,0.5966386795043945,0.9831932783126831,0.21008403599262238
4,34.483333333333334,0.0,23.704166412353516,20.666666666666668,20.666666666666668,6.71875,6.71875,1.4494974613189697,13.1875,-0.921875, woman |  rabbit |  girl |  believer |  frog,(users | 孩子们 | 	users |  animals |  students,0.5798319578170776,0.8907563090324402,0.2689075767993927
5,32.87510592142741,57.80000686645508,0.0,36.7,36.70000000022119,8.25,8.5,1.4494974613189697,16.5,-0.9453125, woman |  handjob | 厮 | 哪家 | _persona,孩子们 |  insects | (users |  animals |  ants,0.6260504126548767,0.9411764740943909,0.31092438101768494
6,30.345833333333335,0.0,22.112499237060547,20.966666666666665,20.966666666666665,8.375,8.4375,1.4494974613189697,16.625,-0.9453125, woman |  girl |  dog | 哪家 |  meisje,(users | 孩子们 | 	users | 同学们 | 学生们,0.6596638560295105,0.7478991746902466,0.5714285969734192
7,15.130729166666667,0.0,55.29999923706055,15.466666666666667,15.466666666666667,9.0625,9.0,1.4494974613189697,17.875,-0.95703125, woman |  dog |  rabbit |  girl |  whale,	users | 孩子们 | (users | (players | 同学们,0.6386554837226868,0.8655462265014648,0.4117647111415863
8,36.858333333333334,94.90416717529297,0.0,25.833333333333332,25.833333333333332,9.5,9.75,1.4494974613189697,19.0,-0.9609375, handjob | 厮 | 哪家 |  shemale |  meisje,孩子们 |  eggs |  passengers |  students |  animals,0.6302521228790283,0.29411765933036804,0.9663865566253662
9,25.883723958333334,0.0,79.8499984741211,20.966666666666665,20.966666666666665,9.875,9.75,1.4494974613189697,19.375,-0.95703125, woman |  dog |  rabbit |  whale |  kitten,	users | (users | 孩子们 | (players | 同学们,0.6890756487846375,0.9579831957817078,0.42016807198524475
