epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.6172542572021484,0.0283733569085598,66.09938072363535,75.91546223958333,1.078125,1.078125,1.0794202089309692,1.3828125,0.1806640625, |  |  [wugs] | 띌 | 턔, |  |  [wug] |  trees |  dogs,0.4856114983558655,0.11510791629552841,0.8561151027679443
2,,0.5936958193778992,0.002251747064292431,34.53034610748291,38.44654947916667,1.078125,1.078125,1.0794202089309692,1.390625,0.166015625, |  | 띌 | 턔 | ﮄ, |  |  cats |  dogs |  trees,0.5107913613319397,0.12949639558792114,0.8920863270759583
3,,0.07873448729515076,0.01435260009020567,15.522904459635416,15.5977783203125,1.078125,1.078125,1.0794202089309692,1.40625,0.1474609375, |  | 띌 | ﮄ | 턔, |  |  cats |  dogs |  trees,0.5359712243080139,0.1942446082830429,0.8776978254318237
4,,2.109095573425293,5.5522530601592734e-05,27.995392481486004,27.863665771484374,1.078125,1.078125,1.0794202089309692,1.4375,0.1162109375, |  | 띌 | ﮡ | ﮄ, |  |  cats |  dogs |  trees,0.5035971403121948,0.10071942210197449,0.9064748287200928
5,,0.0006494681583717465,0.22184352576732635,7.031883653004964,6.780832036336263,1.078125,1.078125,1.0794202089309692,1.4453125,0.10009765625, |  | 띌 | ﮡ | ﮄ, |  cats |  |  dogs |  birds,0.6870503425598145,0.5467625856399536,0.8273381590843201
6,,0.01658155396580696,0.001643864787183702,1.2354593992233276,1.1627421061197916,1.078125,1.078125,1.0794202089309692,1.453125,0.0888671875, |  | 띌 | ﮡ | ᶘ, cats |  |  |  dogs |  birds,0.5791366696357727,0.2589927911758423,0.8992805480957031
7,,0.002126079285517335,0.010989511385560036,7.180999024709066,7.173493448893229,1.078125,1.078125,1.0794202089309692,1.4765625,0.0654296875, |  | ﮡ | 띌 | ᶘ, cats |  |  |  dogs |  birds,0.6654676198959351,0.4100719392299652,0.9208633303642273
8,,0.005207443609833717,0.00107025564648211,0.500064468383789,0.47917633056640624,1.078125,1.078125,1.0794202089309692,1.484375,0.05810546875, |  | ﮡ | ᶘ | 띌, cats |  |  |  dogs |  birds,0.6366906762123108,0.34532374143600464,0.9280575513839722
9,,0.00011121104762423784,0.29756227135658264,0.5242918809254964,0.4877353012561798,1.078125,1.078125,1.0794202089309692,1.5,0.031005859375, |  | ᶘ | ﮡ | 띌, cats |  birds |  dogs |  trees |  cars,0.8201438784599304,0.8201438784599304,0.8201438784599304
