epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,11.033976554870605,5.8152265548706055,59.20196205225657,60.65288689136505,1.078125,1.078125,1.0794202089309692,1.4296875,0.11669921875, |  | ༕ |  ponds | ﯠ, |  | ࠳ |  houses | ﯠ,0.49159663915634155,0.008403361774981022,0.9747899174690247
2,,8.092445373535156,3.4062438011169434,59.11761314086616,57.75898946126302,1.078125,1.078125,1.0794202089309692,1.4296875,0.12109375, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ᨨ | ⮳,0.48739495873451233,0.016806723549962044,0.9579831957817078
3,,5.900453090667725,2.378369092941284,59.340628524124625,52.50338541666667,1.078125,1.078125,1.0794202089309692,1.4296875,0.125, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.48739495873451233,0.042016807943582535,0.9327731132507324
4,,3.462409496307373,1.9281160831451416,59.38969006538391,51.002864583333334,1.078125,1.078125,1.0794202089309692,1.421875,0.12890625, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ⮳ | ᨨ,0.4831932783126831,0.11764705926179886,0.848739504814148
5,,1.7365577220916748,1.3426504135131836,53.55964813232422,49.848779296875,1.078125,1.0859375,1.0794202089309692,1.421875,0.130859375, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5042017102241516,0.22689075767993927,0.7815126180648804
6,,1.0128734111785889,1.097362756729126,47.20088844299316,45.400390625,1.078125,1.078125,1.0794202089309692,1.421875,0.1337890625, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5126050710678101,0.2857142984867096,0.7394958138465881
7,,0.6993098258972168,0.8253359794616699,37.83223063151042,42.60826822916667,1.078125,1.078125,1.0794202089309692,1.421875,0.134765625, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5168067216873169,0.31092438101768494,0.7226890921592712
8,,0.7631680965423584,0.44125860929489136,32.09664713541667,35.42604166666667,1.078125,1.078125,1.0794202089309692,1.421875,0.13671875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5084033608436584,0.23529411852359772,0.7815126180648804
9,,0.31506162881851196,0.5075710415840149,30.567460123697916,32.41979166666667,1.078125,1.078125,1.0794202089309692,1.421875,0.13671875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.529411792755127,0.3193277418613434,0.7394958138465881
10,,0.24842290580272675,0.38246414065361023,23.84652099609375,27.3765625,1.078125,1.078125,1.0794202089309692,1.421875,0.13671875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.5336134433746338,0.3445378243923187,0.7226890921592712
11,,0.3572528064250946,0.23973174393177032,20.844694010416667,23.371354166666666,1.078125,1.0859375,1.0794202089309692,1.421875,0.1357421875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.529411792755127,0.2689075767993927,0.7899159789085388
12,,0.18559995293617249,0.24525780975818634,19.55245564778646,23.126041666666666,1.078125,1.078125,1.0794202089309692,1.421875,0.1357421875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5210084319114685,0.3193277418613434,0.7226890921592712
13,,0.19728054106235504,0.17713376879692078,18.684205118815104,20.789322916666666,1.078125,1.078125,1.0794202089309692,1.421875,0.1357421875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5210084319114685,0.2857142984867096,0.756302535533905
14,,0.13175006210803986,0.18882988393306732,16.74852244059245,18.713802083333334,1.078125,1.078125,1.0794202089309692,1.421875,0.134765625, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.529411792755127,0.31092438101768494,0.7478991746902466
15,,0.17905963957309723,0.11938992887735367,16.149207560221353,16.721614583333334,1.078125,1.078125,1.0794202089309692,1.421875,0.134765625, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5420168042182922,0.2857142984867096,0.7983193397521973
16,,0.11037582159042358,0.11712522804737091,14.446564737955729,15.636979166666666,1.078125,1.078125,1.0794202089309692,1.421875,0.1337890625, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5546218752861023,0.3193277418613434,0.7899159789085388
17,,0.11853601038455963,0.07512350380420685,10.195262654622395,11.202864583333334,1.078125,1.078125,1.0794202089309692,1.421875,0.1337890625, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ᨨ | ⮳,0.5462185144424438,0.29411765933036804,0.7983193397521973
18,,0.07393309473991394,0.09587298333644867,10.95915018717448,11.847005208333334,1.078125,1.078125,1.0794202089309692,1.421875,0.1328125, |  | ༕ | ꦟ | ﯠ, |  | ᨨ | ࠳ | ⮳,0.5504201650619507,0.32773110270500183,0.7731092572212219
19,,0.07933978736400604,0.06941375881433487,9.763739522298177,10.680208333333333,1.078125,1.078125,1.0794202089309692,1.421875,0.1318359375, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ᨨ | ⮳,0.5462185144424438,0.3193277418613434,0.7731092572212219
20,,0.04001008719205856,0.09972837567329407,7.331931559244792,8.078125,1.078125,1.078125,1.0794202089309692,1.421875,0.1298828125, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ᨨ | ⮳,0.5714285969734192,0.38655462861061096,0.756302535533905
