epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,44.98259278933201,151.55079650878906,0.0,66.23333413799604,60.16978858311971,5.0625,5.5625,1.0794202089309692,10.4375,-0.93359375, handjob |  המבקש |  splitter | person | 虤, animals |  birds |  chickens |  students |  flowers,0.5126050710678101,0.02521008439362049,1.0
2,38.43333333333333,0.0,97.22083282470703,36.46666666666667,36.46666666666667,6.71875,6.96875,1.0794202089309692,13.5625,-0.9609375, dog |  wolf |  squirrel |  puppy |  woman, animals | 孩子们 |  opponents |  alunos | robots,0.6302521228790283,0.9747899174690247,0.2857142984867096
3,42.50239270528157,0.0,29.350000381469727,36.4,35.666666666666664,7.9375,8.125,1.0794202089309692,15.9375,-0.97265625, handjob |  puppy |  wolf |  blowjob |  המבקש, animals | 孩子们 |  alunos |  students |  chickens,0.5630252361297607,0.4957983195781708,0.6302521228790283
4,52.38558488138871,140.0739288330078,0.0,31.694180043538413,31.686851835250856,8.375,8.6875,1.0794202089309692,17.0,-0.97265625, handjob |  blowjob |  המבקש |  splitter |  blocker, students |  animals |  birds |  chickens |  alunos,0.5924369692802429,0.21848739683628082,0.9663865566253662
5,58.635416666666664,0.0,81.19999694824219,43.7,43.7,9.6875,9.875,1.0794202089309692,19.5,-0.9765625, handjob |  puppy |  המבקש |  kitten |  wolf,孩子们 |  friends |  icons | 朋友们 |  animals,0.6470588445663452,0.9915966391563416,0.3025210201740265
6,46.141666666666666,0.0,85.19999694824219,25.333333333333332,25.333333333333332,9.6875,9.875,1.0794202089309692,19.5,-0.98046875, handjob |  puppy |  kitten |  המבקש |  wolf,孩子们 |  friends |  icons | 朋友们 |  animals,0.6470588445663452,0.9915966391563416,0.3025210201740265
7,52.28333333333333,0.0,88.80000305175781,25.333333333333332,25.333333333333332,9.6875,9.875,1.0794202089309692,19.5,-0.984375, handjob |  puppy |  kitten |  המבקש |  wolf,孩子们 |  friends |  icons | 朋友们 |  animals,0.6470588445663452,0.9915966391563416,0.3025210201740265
8,73.28333333333333,0.0,52.400001525878906,38.00000017086665,38.0,9.5625,9.8125,1.0794202089309692,19.25,-0.9765625, handjob |  puppy |  המבקש |  blowjob |  kitten,孩子们 |  friends |  animals |  icons | 朋友们,0.6554622054100037,1.0,0.31092438101768494
9,37.06666666666667,73.19999694824219,0.0,19.0,19.0,9.625,9.9375,1.0794202089309692,19.5,-0.98046875, handjob |  המבקש |  blowjob |  firearm |  piece, animals |  birds |  students |  friends |  monkeys,0.6974790096282959,0.7226890921592712,0.6722689270973206
