epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.915930198381345,2.5835962295532227,0.17768457531929016,85.83514834460026,56.1518310546875,1.4765625,1.484375,1.4494974613189697,1.96875,0.11474609375, gate |  Dogs |  человек |  door |  dogs, dogs |  trees | dogs |  phones |  dog,0.5863309502601624,0.2158273309469223,0.9568345546722412
2,0.9615033838432282,0.05227058008313179,0.521243691444397,49.00345277786255,39.770572916666666,1.5,1.4921875,1.4494974613189697,1.9921875,0.11328125, gate |  человек |  door |  Dogs |  dogs, dogs |  trees | dogs |  phones |  cats,0.7733812928199768,0.5899280309677124,0.9568345546722412
3,0.3784066653675836,0.0064712632447481155,1.0107847452163696,13.680536153912545,11.654401143391928,1.5078125,1.4921875,1.4494974613189697,2.0,0.11279296875, человек |  gate |  door |  Dogs |  dogs, dogs |  trees | dogs |  phones |  cats,0.8273381590843201,0.6978417038917542,0.9568345546722412
4,1.0727687446490866,0.0017081988044083118,1.2143824100494385,34.857002319892246,34.99205417633057,1.515625,1.5,1.4494974613189697,2.015625,0.10791015625, человек |  door |  gate |  Dogs |  dogs, dogs |  trees | dogs |  phones |  cats,0.9244604110717773,0.8920863270759583,0.9568345546722412
5,0.3475929517179338,0.0014536908129230142,1.4532713890075684,12.020143993695577,12.121865495045979,1.5234375,1.5,1.4494974613189697,2.015625,0.10595703125, человек |  gate |  door |  Dogs | DOG, dogs |  trees | dogs |  phones |  cats,0.8741007447242737,0.7913669347763062,0.9568345546722412
6,0.69564987094127,0.5666730999946594,0.013125265017151833,18.259570446268967,18.05948282877604,1.515625,1.5078125,1.4494974613189697,2.03125,0.10400390625, человек |  door |  gate |  Dogs | DOG, dogs |  trees | dogs |  cats |  phones,0.8129496574401855,0.6690647602081299,0.9568345546722412
7,0.6864074715208365,1.6812435388565063,0.00024354920606128871,21.230287897586823,21.294654448827107,1.515625,1.515625,1.4494974613189697,2.03125,0.1025390625, человек |  door |  gate |  Dogs | DOG, dogs |  trees | dogs |  cats |  phones,0.7410072088241577,0.5251798629760742,0.9568345546722412
8,0.46908281187713025,1.5097113847732544,0.0002578398853074759,12.841365676621596,13.015549004077911,1.515625,1.515625,1.4494974613189697,2.03125,0.09814453125, человек |  gate |  door |  Dogs | DOG, dogs |  trees | dogs |  cats |  phones,0.7805755138397217,0.6043165326118469,0.9568345546722412
9,0.6037834651084873,0.00025375778204761446,1.604520559310913,15.966568327943484,15.846762116750082,1.53125,1.5078125,1.4494974613189697,2.046875,0.09619140625, человек |  gate |  door |  Dogs | DOG, dogs |  trees | dogs |  phones |  cats,0.9280575513839722,0.8992805480957031,0.9568345546722412
10,0.8730042414560178,0.0007242955616675317,1.2026714086532593,21.483115069492488,21.528977143764497,1.53125,1.5078125,1.4494974613189697,2.046875,0.09375, человек |  gate |  door |  Dogs | DOG, dogs |  trees | dogs |  phones |  cats,0.931654691696167,0.9064748287200928,0.9568345546722412
