epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.9933705131387494,1.471517562866211,0.010656902566552162,87.11750984986624,68.17082926432292,1.1328125,1.125,1.0794202089309692,1.4765625,0.1484375, [wugs] |  |  |  deer |  trees, cars |  dogs |  doors |  corners | ,0.7310924530029297,0.4789915978908539,0.9831932783126831
2,1.0069417606769018,0.00103765691164881,1.2037142515182495,27.760099093119305,25.83864572048187,1.1484375,1.1328125,1.0794202089309692,1.5,0.1357421875, kite |  squirrel |  deer |  [wugs] | , cars |  dogs |  doors |  corners | ,0.7731092572212219,0.5462185144424438,1.0
3,1.178240130428234,3.811490535736084,5.8986563090002164e-05,22.134245179096858,22.079337022639812,1.140625,1.15625,1.0794202089309692,1.515625,0.12451171875, |  |  kite |  deer | בוחר, dogs |  cars |  doors |  corners |  animals,0.7058823704719543,0.4117647111415863,1.0
4,1.7800950966308418,0.951819121837616,0.001942958915606141,31.86680954582989,32.24005517466964,1.15625,1.15625,1.0794202089309692,1.5390625,0.1123046875, kite |  |  |  squirrel |  deer, dogs |  cars |  doors |  animals |  corners,0.7352941036224365,0.48739495873451233,0.9831932783126831
5,1.6513835022092995,1.7572938203811646,3.555358125595376e-05,31.16461888154348,31.186770862092576,1.15625,1.171875,1.0794202089309692,1.5703125,0.095703125, kite |  squirrel |  |  |  deer, dogs |  cars |  doors |  animals |  corners,0.7815126180648804,0.5714285969734192,0.9915966391563416
6,1.4769807580370409,1.2047524251102004e-05,3.550830602645874,31.960408334224486,31.974455415084957,1.1796875,1.15625,1.0794202089309692,1.5859375,0.0869140625, squirrel |  kite |  deer |  rabbit |  mare, dogs |  cars |  doors |  animals |  corners,0.819327712059021,0.6554622054100037,0.9831932783126831
7,1.6818172724364937,1.5973996596585494e-06,3.5593643188476562,26.86012023707893,26.79670311319448,1.1953125,1.1640625,1.0794202089309692,1.6015625,0.0732421875, squirrel |  kite |  deer |  chicken |  rabbit, dogs |  cars |  doors |  corners |  animals,0.8445377945899963,0.7226890921592712,0.9663865566253662
8,1.0528230408877712,2.8371675853122724e-06,3.0004866123199463,13.020519099446634,13.114051629086475,1.1953125,1.1640625,1.0794202089309692,1.609375,0.07275390625, kite |  squirrel |  deer |  rabbit |  chicken, dogs |  cars |  doors |  corners |  animals,0.8361344337463379,0.6890756487846375,0.9831932783126831
9,1.3959607822950255,1.9001957178115845,1.902517760754563e-05,19.022236362223826,19.00750915648144,1.171875,1.1796875,1.0794202089309692,1.6015625,0.078125, kite |  squirrel |  |  | בוחר, dogs |  cars |  doors |  animals |  corners,0.7647058963775635,0.5378151535987854,0.9915966391563416
10,1.9713668222620748,0.9022785425186157,0.002216576598584652,25.395694540410478,25.408727281441838,1.171875,1.1796875,1.0794202089309692,1.6015625,0.078125, kite |  squirrel |  |  |  deer, dogs |  cars |  doors |  animals |  corners,0.7689075469970703,0.5462185144424438,0.9915966391563416
11,1.6759919368498968,1.4464025070992648e-06,3.800753355026245,32.35862369279591,32.37441311885292,1.1953125,1.171875,1.0794202089309692,1.6171875,0.06884765625, kite |  squirrel |  deer |  rabbit | , dogs |  cars |  doors |  corners |  animals,0.8655462265014648,0.756302535533905,0.9747899174690247
