epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.12043255567550659,0.6838820576667786,61.81328125,54.45895589192708,1.4453125,1.4453125,1.4494974613189697,1.921875,0.1171875, gates |  woman |  Souls |  wolves | Woman, animals |  rabbits |  birds |  beasts |  chickens,0.5882353186607361,0.18487395346164703,0.9915966391563416
2,,1.0011465549468994,0.11660510301589966,33.76510416666667,35.69140625,1.453125,1.453125,1.4494974613189697,1.9453125,0.1015625, gates |  woman |  Gates |  Souls | Woman, animals |  rabbits |  birds |  Animals |  frogs,0.5630252361297607,0.1260504275560379,1.0
3,,0.25378739833831787,0.03275873884558678,30.2240966796875,28.319694010416665,1.453125,1.453125,1.4494974613189697,1.9765625,0.07275390625, gates |  woman |  Gates | Woman |  Souls, animals |  rabbits |  birds |  chickens |  frogs,0.5798319578170776,0.1596638709306717,1.0
4,,0.026098083704710007,0.07737063616514206,21.693782552083334,21.238248697916667,1.453125,1.453125,1.4494974613189697,1.9921875,0.056884765625, gates |  woman |  Gates |  Souls | Woman, animals |  rabbits |  birds |  chickens |  monkeys,0.6764705777168274,0.3529411852359772,1.0
5,,0.49960336089134216,0.0031104350928217173,8.240622965494792,8.037972005208333,1.453125,1.4453125,1.4494974613189697,2.0,0.044189453125, gates |  woman |  Gates |  Souls | Woman, animals |  rabbits |  birds |  chickens |  lamps,0.605042040348053,0.21008403599262238,1.0
6,,0.056376926600933075,0.02766849659383297,12.888733927408854,13.389117431640624,1.453125,1.453125,1.4494974613189697,2.03125,0.02001953125, gates |  woman |  Gates |  creature | Woman, animals |  rabbits |  birds | 两只 |  lamps,0.7142857313156128,0.4285714328289032,1.0
7,,0.00605409499257803,0.04808022454380989,10.537953694661459,10.835477701822917,1.453125,1.453125,1.4494974613189697,2.0625,-0.00848388671875, gates |  woman |  Gates |  creature | Woman, animals | 两只 |  rabbits |  birds | 两位,0.7268907427787781,0.45378151535987854,1.0
