epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.762064305941264,5.473788738250732,5.240366458892822,84.0137954711914,76.97744479992737,1.453125,1.453125,1.4494974613189697,1.9140625,0.1337890625, horses |  rabbits |  birds |  chickens |  horse, trees | trees |  doors |  Trees | door,0.5084033608436584,0.9831932783126831,0.03361344709992409
2,4.470672975977262,3.763505458831787,3.2802512645721436,87.1971975962321,67.89538807670276,1.453125,1.453125,1.4494974613189697,1.9140625,0.1376953125, horses |  rabbits |  birds |  horse |  chickens, trees | trees |  doors |  Trees | door,0.5168067216873169,0.9831932783126831,0.05042016878724098
3,2.895883414397637,2.5424866676330566,1.7337043285369873,82.98490753173829,61.24767409960429,1.4609375,1.4609375,1.4494974613189697,1.9140625,0.140625, horses |  rabbits |  birds |  horse |  chickens, trees | trees |  doors |  Trees |  dogs,0.5546218752861023,0.9747899174690247,0.13445378839969635
4,1.7572745724425962,1.5184422731399536,1.1442434787750244,77.65698750813802,55.41989590326945,1.4609375,1.4609375,1.4494974613189697,1.9140625,0.14453125, horses |  rabbits |  birds |  horse |  bird, trees | trees |  doors |  Trees |  dogs,0.6008403301239014,0.9747899174690247,0.22689075767993927
5,1.1096317952809234,1.19718337059021,0.45800450444221497,66.10706481933593,47.60171051025391,1.4609375,1.4609375,1.4494974613189697,1.9140625,0.146484375, horses |  rabbits |  birds |  horse |  bird, trees | trees |  dogs |  doors |  Trees,0.6386554837226868,0.9663865566253662,0.31092438101768494
6,0.7469261382085581,0.5747354030609131,0.4601774215698242,59.716888936360675,43.27177937825521,1.46875,1.46875,1.4494974613189697,1.9140625,0.1474609375, horses |  rabbits |  birds |  horse |  bird, trees | trees |  dogs |  doors |  [wug],0.651260495185852,0.9663865566253662,0.3361344635486603
7,0.5408851304634784,0.49899595975875854,0.2819399833679199,48.51860555013021,37.758584594726564,1.46875,1.46875,1.4494974613189697,1.9140625,0.1474609375, horses |  rabbits |  birds |  horse |  bird, trees | trees |  dogs |  doors |  [wug],0.668067216873169,0.9663865566253662,0.36974790692329407
8,0.4031405449573261,0.4189075827598572,0.21152402460575104,40.59959882100423,32.727850341796874,1.46875,1.46875,1.4494974613189697,1.9140625,0.1484375, horses |  rabbits |  horse |  bird |  birds, trees | trees |  dogs |  doors |  [wug],0.680672287940979,0.9663865566253662,0.3949579894542694
9,0.3315475993052435,0.16693630814552307,0.38107678294181824,35.170111338297524,29.525630696614584,1.46875,1.46875,1.4494974613189697,1.9140625,0.1494140625, horses |  rabbits |  horse |  bird |  birds, trees | trees |  dogs |  [wug] |  doors,0.6848739385604858,0.9663865566253662,0.40336135029792786
10,0.3169112110665689,0.31713101267814636,0.14095287024974823,31.04990514119466,27.651505533854166,1.46875,1.46875,1.4494974613189697,1.9140625,0.1494140625, horses |  rabbits |  horse |  bird |  birds, trees | trees |  dogs |  [wug] |  doors,0.7100840210914612,0.9663865566253662,0.45378151535987854
11,0.29374069555973015,0.13871295750141144,0.28362366557121277,30.380251185099283,26.916650390625,1.46875,1.46875,1.4494974613189697,1.9140625,0.150390625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs | trees |  [wug] |  doors,0.7142857313156128,0.9663865566253662,0.462184876203537
