epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,12.829549789428711,5.805372893519234e-06,58.20738220214844,70.58892729679744,1.453125,1.453125,1.4494974613189697,2.265625,-0.2216796875, creature |  beast |  thing |  fences |  animal, rabbits | 两只 |  cats |  lamps | 两位,0.5126050710678101,0.02521008439362049,1.0
2,,0.5329590439796448,0.2490038424730301,31.73255691320325,39.506633918295364,1.453125,1.453125,1.4494974613189697,2.453125,-0.435546875, creature | creature |  animal | 	lines | 什么东西,两只 |  two | 两位 |  Two |  cats,0.5882353186607361,0.29411765933036804,0.8823529481887817
3,,0.7850764989852905,0.0006560615147463977,30.22857845121762,28.73125539630952,1.4453125,1.453125,1.4494974613189697,2.59375,-0.6015625, creature | creature |  shark |  monster |  animal,两只 |  two | 两位 | 两个 |  Two,0.6134454011917114,0.2521008551120758,0.9747899174690247
4,,5.810957431793213,1.370824065816123e-05,41.35108776093014,37.518864392039056,1.453125,1.453125,1.4494974613189697,2.671875,-0.703125, creature | creature |  animal |  monster |  shark,两只 |  two | 两位 | 两个 | 俩,0.5084033608436584,0.016806723549962044,1.0
5,,4.260555267333984,4.7683624870842323e-07,25.702114251256,29.87179102375345,1.453125,1.4453125,1.4494974613189697,2.6875,-0.71484375, creature |  monster | creature |  animal |  shark,两只 |  two | 两个 | 两位 | two,0.5420168042182922,0.08403361588716507,1.0
6,,4.544948577880859,0.02194548025727272,37.11272178905653,33.596503100917175,1.453125,1.453125,1.4494974613189697,2.75,-0.796875, creature |  monster | creature |  animal |  shark, two | 两个 | 两只 | 两位 | 俩,0.5126050710678101,0.02521008439362049,1.0
7,,0.006544033996760845,1.131123661994934,33.70183795198889,30.04500040563715,1.4453125,1.453125,1.4494974613189697,2.765625,-0.82421875, creature | creature | 🐲 |  animal |  monster, two | 两只 | 两个 |  Two | Two,0.7058823704719543,0.5210084319114685,0.8907563090324402
