epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.20182672142982483,0.15433332324028015,58.24453127446274,49.14419733683268,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, |  | ﮀ | ꍲ | ﮈ, |  |  cats |  girls |  dogs,0.6554622054100037,0.3445378243923187,0.9663865566253662
2,,0.033371638506650925,0.13243520259857178,32.478065999348956,29.95756810506185,1.078125,1.078125,1.0794202089309692,1.46875,0.07763671875, |  | ﮀ | ﮈ | ꍲ, cats |  girls |  |  |  dogs,0.8361344337463379,0.7142857313156128,0.9579831957817078
3,,0.16792313754558563,0.014922790229320526,30.12233595252037,30.26589380900065,1.078125,1.078125,1.0794202089309692,1.4921875,0.0400390625, |  | ﮈ | ﮀ | ﮰ, girls |  cats |  |  |  dogs,0.8025209903717041,0.6302521228790283,0.9747899174690247
4,,0.002258326392620802,0.015205281786620617,3.7214141845703126,3.6714664459228517,1.078125,1.078125,1.0794202089309692,1.5,0.028076171875, |  | ﮈ | ﮀ | ﮰ, girls |  cats |  dogs |  | ,0.819327712059021,0.680672287940979,0.9579831957817078
5,,0.006746308412402868,0.03877044469118118,6.959749348958334,7.1095248301823935,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0198974609375, |  | ﮈ | ﮰ | ﮀ, girls |  cats |  dogs |  mice |  birds,0.8361344337463379,0.7394958138465881,0.9327731132507324
6,,0.00046634365571662784,0.004042291548103094,6.407676091790199,6.29756650129954,1.078125,1.078125,1.0794202089309692,1.5703125,-0.059814453125, |  | ﮈ | ﮰ | ﮀ, girls |  cats |  dogs |  mice |  birds,0.8403361439704895,0.7142857313156128,0.9663865566253662
7,,0.0010805331403389573,0.001486590364947915,0.265785280863444,0.3020836035410563,1.078125,1.078125,1.0794202089309692,1.5703125,-0.059814453125, |  | ﮈ | ﮰ | ﮀ, cats |  girls |  dogs |  mice |  birds,0.8067227005958557,0.6470588445663452,0.9663865566253662
8,,0.0013974154135212302,0.10760809481143951,0.33355487982432047,0.2918103257815043,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08642578125, |  | ﮈ | ﮰ | ﮀ, cats |  girls |  dogs |  mice |  birds,0.8613445162773132,0.7899159789085388,0.9327731132507324
