epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.5183934351895005,0.12891189754009247,0.2680947184562683,68.01052754720052,56.68534762064616,1.4765625,1.484375,1.4494974613189697,1.953125,0.1259765625, bird |  chairs |  Chairs |  chair |  Chair, birds |  trees |  walls |  lamps |  chickens,0.866906464099884,0.8057553768157959,0.9280575513839722
2,0.8107972200392245,0.0014422291424125433,1.3106770515441895,27.950711782773336,24.343595989545186,1.484375,1.484375,1.4494974613189697,1.96875,0.12353515625, bird |  chairs |  chair |  child |  Chairs, birds |  trees |  walls |  lamps |  chickens,0.8812949657440186,0.8273381590843201,0.935251772403717
3,0.7007965487075883,2.1217055320739746,0.00017786478565540165,16.80959492524465,16.837071736653645,1.4765625,1.5,1.4494974613189697,1.9765625,0.11865234375, bird |  chairs |  chair |  Chairs |  Chair, birds |  trees |  walls |  chickens |  lamps,0.7661870718002319,0.568345308303833,0.9640287756919861
4,1.2104533683292782,0.00035426716203801334,1.5538272857666016,30.897118123372397,31.007202990849812,1.4921875,1.4921875,1.4494974613189697,1.9921875,0.1142578125, bird |  chair |  child |  chairs |  Chairs, birds |  trees |  walls |  lamps |  chickens,0.902877688407898,0.8705036044120789,0.935251772403717
