epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.18787337839603424,0.1335722655057907,61.65015976428985,65.00442708333334,1.078125,1.078125,1.0794202089309692,1.46875,0.07470703125, |  | ᨧ | 켭 | ᨪ, |  |  boats |  rats |  computers,0.568345308303833,0.8057553768157959,0.3309352397918701
2,,0.3450445532798767,0.009941565804183483,34.24925810098648,32.491162109375,1.078125,1.078125,1.0794202089309692,1.4921875,0.0498046875, |  | 켭 | ᨧ | ᨪ, |  |  rats |  boats |  computers,0.6294963955879211,0.5467625856399536,0.7122302055358887
3,,0.0002850197197403759,1.57883620262146,23.893452580769857,22.667815975348155,1.078125,1.078125,1.0794202089309692,1.515625,0.01055908203125, |  | 켭 | 㹦 | ᨧ, boats |  rats |  |  |  computers,0.7050359845161438,0.8920863270759583,0.5179855823516846
4,,0.005794994533061981,0.006744497921317816,32.29185988583291,32.068477328618364,1.078125,1.0859375,1.0794202089309692,1.5546875,-0.036865234375, |  | 켭 | 㹦 | ᭣, boats |  rats |  |  |  computers,0.7410072088241577,0.5899280309677124,0.8920863270759583
5,,0.014238516800105572,0.0008493369678035378,0.5812809904416402,0.4915110270182292,1.078125,1.0859375,1.0794202089309692,1.5546875,-0.03759765625, |  | 켭 | ᭣ | הוצ, |  |  rats |  boats |  cats,0.701438844203949,0.5107913613319397,0.8920863270759583
6,,0.47949010133743286,0.01091389637440443,2.022430707514286,2.057571268081665,1.078125,1.078125,1.0794202089309692,1.578125,-0.0625, |  | הוצ | 켭 | ᘗ, |  |  boats |  rats |  birds,0.6726618409156799,0.43884891271591187,0.9064748287200928
7,,0.0036092910449951887,0.0025730805937200785,11.967191370328267,11.88184305826823,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08154296875, |  | 켭 | ᘗ |  כיצ, rats |  boats |  |  birds | ,0.8021582961082458,0.7122302055358887,0.8920863270759583
8,,0.0026742457412183285,0.000662023841869086,0.27936026255289714,0.21647974650065105,1.078125,1.078125,1.0794202089309692,1.59375,-0.08544921875, |  | 켭 |  כיצ | ᘗ, boats |  rats |  birds |  computers | ,0.8093525171279907,0.7338129281997681,0.8848921060562134
9,,0.024323390796780586,9.168232645606622e-05,6.532295111442606,6.541460164388021,1.078125,1.078125,1.0794202089309692,1.625,-0.138671875, |  | 옭 | 켭 | הוצ, birds |  cats |  boats |  rats |  computers,0.7769784331321716,0.6618704795837402,0.8920863270759583
10,,0.3287232518196106,1.737980346661061e-05,1.295729371284445,1.1203705310821532,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1484375, |  | 옭 | 켭 |  כיצ, cats |  birds |  rats |  computers |  boats,0.7446042895317078,0.6043165326118469,0.8848921060562134
11,,0.0002108115004375577,0.001227641012519598,0.5847872297788854,0.5297935565312704,1.078125,1.078125,1.0794202089309692,1.640625,-0.1611328125, |  | 옭 |  כיצ | 켭, birds |  cats |  rats |  computers |  boats,0.8597122430801392,0.8345323801040649,0.8848921060562134
