epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.9614502465352417,1.6465206146240234,0.09907057881355286,83.04039306640625,71.20644149780273,1.46875,1.4765625,1.4494974613189697,1.9609375,0.11181640625, walls |  Walls | Door | 树木 |  wall, cars |  boats |  chairs |  boys |  cats,0.5899280309677124,0.5539568066596985,0.6258992552757263
2,0.8061862835194915,2.4183740615844727,0.00038072431925684214,39.61443176269531,35.199198404947914,1.46875,1.484375,1.4494974613189697,1.9765625,0.10791015625, Walls |  walls | Door | 	tree | (tree, cars |  boats |  boys |  cats |  chairs,0.5575539469718933,0.3093525171279907,0.8057553768157959
3,0.9378120213160097,0.5969949960708618,0.014375975355505943,31.525090662638345,30.801478068033855,1.4765625,1.484375,1.4494974613189697,1.984375,0.10302734375, Walls |  walls | Door | (tree | 	tree, cars |  boats |  boys |  chairs |  cats,0.7050359845161438,0.7625899314880371,0.6474820375442505
4,0.801406695627035,0.0012012404622510076,1.3684450387954712,25.40301259358724,24.640448506673177,1.484375,1.484375,1.4494974613189697,1.9921875,0.0986328125, Walls |  walls | Door |  chicken | (tree, cars |  boats |  boys |  chairs |  cats,0.6798561215400696,0.8920863270759583,0.4676258862018585
5,0.5994912353552839,1.8371353149414062,0.0002148036874132231,19.141603874166808,19.02433350086212,1.4765625,1.4921875,1.4494974613189697,2.0,0.09619140625, Walls | Door |  walls | (tree | 	tree, cars |  boats |  boys |  chairs |  cats,0.6726618409156799,0.5467625856399536,0.798561155796051
6,0.8022621409279054,1.5983105897903442,0.00034627821878530085,21.72214432358742,21.517503158251444,1.484375,1.4921875,1.4494974613189697,2.0,0.0947265625, Walls | Door |  walls | (tree | 	tree, cars |  boats |  boys |  chairs |  cats,0.6906474828720093,0.568345308303833,0.8129496574401855
7,0.8178234906505167,0.9552279114723206,0.003064787946641445,22.513344128926594,22.415697897473972,1.484375,1.4921875,1.4494974613189697,2.015625,0.09033203125, Walls | Door | (tree |  walls | 	tree, cars |  boats |  boys |  chairs |  cats,0.730215847492218,0.769784152507782,0.6906474828720093
8,0.8624960378629415,0.6618792414665222,0.007978325709700584,22.174084812402725,22.09937173128128,1.4921875,1.5,1.4494974613189697,2.015625,0.08642578125, Walls | Door |  walls |  chicken | (tree, cars |  boats |  boys |  chairs |  cats,0.7553957104682922,0.8201438784599304,0.6906474828720093
9,0.4615222198415116,0.8577460050582886,0.0030339073855429888,11.234485965967178,11.144907061258952,1.4921875,1.5,1.4494974613189697,2.03125,0.083984375, Walls | Door | 	tree |  walls |  chicken, cars |  boats |  boys |  chairs |  cats,0.7553957104682922,0.798561155796051,0.7122302055358887
10,0.5764890482660273,0.0004750195366796106,1.3282376527786255,14.579189040263493,14.460374331474304,1.5,1.5,1.4494974613189697,2.03125,0.07861328125, Walls | Door |  chicken |  walls |  bird, cars |  boats |  boys |  chairs |  cats,0.730215847492218,0.9424460530281067,0.5179855823516846
11,0.7487410328338835,0.0006805806187912822,1.2032215595245361,20.944461303452652,20.884523598353066,1.5078125,1.5,1.4494974613189697,2.046875,0.0771484375, Walls | Door |  chicken |  walls | (tree, cars |  boats |  boys |  chairs |  cats,0.7446042895317078,0.9496402740478516,0.5395683646202087
12,0.9818783234148971,1.5310285091400146,0.0001686132454778999,26.00970821728309,25.97362740834554,1.4921875,1.5078125,1.4494974613189697,2.03125,0.07861328125,Door |  Walls | 	tree | (tree |  walls, cars |  boats |  boys |  chairs |  cats,0.7589927911758423,0.7266187071800232,0.7913669347763062
13,0.8370478208218705,0.8052206039428711,0.0038570992182940245,21.194356814026833,21.13578421274821,1.5,1.5078125,1.4494974613189697,2.046875,0.07666015625,Door |  Walls | (tree |  chicken | 	tree, cars |  boats |  boys |  chairs |  cats,0.7769784331321716,0.8273381590843201,0.7266187071800232
