epoch,wug_proj,wugs_proj,dist
1,0.0011778175830841064,0.04908498376607895,0.04790716618299484
2,-0.025881443172693253,0.06979463249444962,0.09567607939243317
3,-0.035996124148368835,0.07931733876466751,0.11531346291303635
4,-0.038908008486032486,0.08022937178611755,0.11913737654685974
5,-0.043345898389816284,0.0845935270190239,0.12793943285942078
6,-0.04494832828640938,0.08565206825733185,0.13060039281845093
7,-0.04753953963518143,0.08839085698127747,0.1359303891658783
8,-0.05265595018863678,0.09331664443016052,0.1459725946187973
9,-0.0551990307867527,0.09537763148546219,0.1505766659975052
10,-0.05853947997093201,0.09741812944412231,0.15595760941505432
11,-0.059365253895521164,0.09799760580062866,0.15736286342144012
12,-0.058106157928705215,0.09690426290035248,0.1550104171037674
13,-0.059210702776908875,0.09775691479444504,0.15696761012077332
