epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,157.1429737965266,0.0,229.17083740234375,69.25,62.916760253906254,16.125,17.0,1.0794202089309692,33.0,-0.9765625, mouse |  girl |  woman |  teenager |  kitten, students | 孩子们 |  alunos | students | characters,0.6386554837226868,0.9495798349380493,0.32773110270500183
2,144.45052085320154,112.4000015258789,0.0,48.06667056083679,48.06667060852051,23.5,24.625,1.0794202089309692,48.0,-0.98828125, handjob |  woman |  thing |  girl |  mouse, students | students |  alunos | 孩子们 |  estudiantes,0.6302521228790283,0.3025210201740265,0.9579831957817078
3,164.14166666666668,0.0,191.1999969482422,37.36666666666667,37.36666666666667,26.25,27.125,1.0794202089309692,53.25,-0.98828125, girl |  woman |  kitten |  mouse |  handjob, students | 孩子们 |  alunos |  friends |  characters,0.6386554837226868,0.9663865566253662,0.31092438101768494
4,185.43333333333334,0.0,24.149999618530273,37.7,37.7,27.25,28.25,1.0794202089309692,55.5,-0.9921875, handjob |  kitten |  thing |  woman |  puppy, students | 孩子们 |  friends |  passengers |  alunos,0.6302521228790283,0.7478991746902466,0.5126050710678101
5,22.595833492278675,360.79998779296875,0.0,12.366695404052734,12.36669527689616,32.25,33.25,1.0794202089309692,65.5,-0.9921875, handjob |  המבקש |  blowjob |  creampie | 所所长, students |  passengers |  friends |  users | 孩子们,0.6764705777168274,0.38655462861061096,0.9663865566253662
