epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,97.14990128117303,249.25625610351562,0.0,60.077083333333334,54.243755181630455,12.1875,13.25,1.0794202089309692,25.25,-0.96875,'s | ’s |  handjob |  teaspoon |  cannot,孩子们 |  çocuklar |  kids |  flowers |  animals,0.5882353186607361,0.22689075767993927,0.9495798349380493
2,115.17916943232218,345.5087585449219,0.0,37.3666668156784,37.36666666666667,15.1875,16.25,1.0794202089309692,31.25,-0.9765625, handjob |  creampie | 's |  cumshot | ’s, students |  animals | 孩子们 |  kids |  children,0.5966386795043945,0.19327731430530548,1.0
3,137.62083333333334,320.6499938964844,0.0,37.36666666666667,37.36666666666667,17.75,18.75,1.0794202089309692,36.25,-0.98046875, handjob | 所所长 |  teaspoon | 's | ’s, students |  animals | 孩子们 |  kids |  children,0.5882353186607361,0.1764705926179886,1.0
4,127.78432501157126,200.39999389648438,0.0,31.166666666666668,31.166666666666668,19.625,20.375,1.0794202089309692,40.0,-0.98828125, handjob |  teaspoon | 所所长 |  המבקש |  creampie,孩子们 |  students |  children |  animals |  kids,0.6176470518112183,0.680672287940979,0.5546218752861023
5,120.35,148.8000030517578,0.0,36.766666666666666,36.766666666666666,22.125,22.875,1.0794202089309692,45.0,-0.99609375, handjob |  blowjob |  teaspoon | 所所长 |  cumshot,孩子们 |  students |  animals |  children |  kids,0.6596638560295105,0.9831932783126831,0.3361344635486603
