epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.9566020973657334,1.4352936744689941,0.011702527292072773,90.0727180759112,71.83766072591146,1.1328125,1.125,1.0794202089309692,1.46875,0.1484375, [wugs] |  |  |  trees |  deer, cars |  dogs |  doors |  corners | ,0.7268907427787781,0.4789915978908539,0.9747899174690247
2,0.9070201694898589,0.002071048365905881,1.0543289184570312,28.18258322874705,25.35349479317665,1.140625,1.1328125,1.0794202089309692,1.4921875,0.1416015625, [wugs] |  kite |  squirrel |  deer | , cars |  dogs |  doors |  | ,0.7605041861534119,0.5462185144424438,0.9747899174690247
3,1.0709401165461625,3.328038215637207,8.861085370881483e-05,22.627671869595847,22.662607620904843,1.140625,1.1484375,1.0794202089309692,1.5078125,0.130859375, |  |  deer |  kite | בוחר, cars |  dogs |  doors |  corners |  animals,0.7058823704719543,0.4117647111415863,1.0
4,1.5783474459394964,1.2006951570510864,0.0005937597597949207,33.72879871428013,34.09346996496121,1.15625,1.15625,1.0794202089309692,1.53125,0.1162109375, |  kite |  |  squirrel | בוחר, dogs |  cars |  doors |  animals |  corners,0.7352941036224365,0.48739495873451233,0.9831932783126831
5,1.4660745204672763,1.8132542371749878,2.8235132049303502e-05,30.750802867331853,30.747084578623376,1.1484375,1.171875,1.0794202089309692,1.5546875,0.103515625, kite |  squirrel |  |  |  deer, dogs |  cars |  doors |  animals |  corners,0.7857142686843872,0.5798319578170776,0.9915966391563416
6,1.3445519200144966,1.845250699261669e-05,3.000389575958252,32.134317869351555,32.08937900861104,1.171875,1.15625,1.0794202089309692,1.5703125,0.095703125, kite |  squirrel |  deer |  | , dogs |  cars |  doors |  animals |  corners,0.8151260614395142,0.6470588445663452,0.9831932783126831
7,1.5129740302702355,3.1868441965343663e-06,3.1803128719329834,27.064898310123105,27.007143139843052,1.1875,1.15625,1.0794202089309692,1.5859375,0.083984375, kite |  squirrel |  deer |  | , dogs |  cars |  doors |  corners |  animals,0.8571428656578064,0.7478991746902466,0.9663865566253662
8,0.9355039209567864,5.1895331125706434e-06,2.750655174255371,12.965291803578536,13.004896950046653,1.1796875,1.15625,1.0794202089309692,1.5859375,0.0849609375, kite |  squirrel |  deer |  | , dogs |  cars |  doors |  corners |  animals,0.8445377945899963,0.7142857313156128,0.9747899174690247
9,1.2668204986521254,1.6502734422683716,5.984393646940589e-05,19.026550320908427,19.008375200256705,1.1640625,1.171875,1.0794202089309692,1.578125,0.08935546875, kite |  |  squirrel |  | בוחר, dogs |  cars |  doors |  animals |  corners,0.7605041861534119,0.529411792755127,0.9915966391563416
10,1.7838232341967908,0.8037204146385193,0.0036454901564866304,25.387479327921756,25.39646216844188,1.1640625,1.171875,1.0794202089309692,1.578125,0.08935546875, kite |  squirrel |  |  |  deer, dogs |  cars |  doors |  animals |  corners,0.7731092572212219,0.5630252361297607,0.9831932783126831
11,1.5089013249396772,2.717959205256193e-06,3.4508416652679443,32.09852880849503,32.11448070801173,1.1875,1.1640625,1.0794202089309692,1.5859375,0.08154296875, kite |  squirrel |  deer |  | , dogs |  cars |  doors |  corners |  animals,0.8655462265014648,0.756302535533905,0.9747899174690247
