epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.987220332283152,3.336669445037842,12.4375,61.27265736186722,55.555699687071815,1.90625,1.921875,1.4494974613189697,2.984375,-0.220703125, child |  woman |  dog |  rat |  puppy, cats |  rats |  dogs |  cars |  rabbits,0.5462185144424438,0.10084033757448196,0.9915966391563416
2,7.931326850043842,0.0,13.06415843963623,29.721583966513695,28.901497461501712,2.109375,1.96875,1.4494974613189697,3.28125,-0.30078125, rat |  woman |  frog |  dog |  kitten, cats |  cars |  people |  birds |  cows,0.6008403301239014,1.0,0.20168067514896393
3,5.027085590286636,0.0,16.939714431762695,21.60032447973887,21.600315978807387,2.3125,2.15625,1.4494974613189697,3.75,-0.416015625, woman |  dog |  kitten |  waitress |  girl, cats |  rats |  cars |  people |  chairs,0.6428571343421936,1.0,0.2857142984867096
4,8.622916773954909,0.0,10.367229461669922,20.666668417045017,20.666684576869223,2.265625,2.140625,1.4494974613189697,3.703125,-0.408203125, woman |  dog |  kitten |  frog |  waitress, cats |  rats |  cars |  birds |  chairs,0.668067216873169,1.0,0.3361344635486603
5,9.849618600803193,4.199999809265137,6.278331738940324e-07,31.46147279856506,31.51049312856194,2.390625,2.375,1.4494974613189697,4.09375,-0.48828125, woman |  dog |  dolphin |  mouse |  girl, cats |  birds |  ants |  rats |  candles,0.8571428656578064,0.9831932783126831,0.7310924530029297
