epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.562856963603311,0.04368112236261368,0.90740567445755,50.940467325846356,45.329880777994795,1.4765625,1.484375,1.4494974613189697,1.9296875,0.15234375, dogs |  [wugs] |  bird |  birds |  dog, walls |  [wug] |  dogs |  houses |  birds,0.6474820375442505,0.6258992552757263,0.6690647602081299
2,0.8291015881533175,0.9093714952468872,0.010356036946177483,26.05785675048828,24.971096547444663,1.484375,1.5,1.4494974613189697,1.9453125,0.1435546875, dogs |  bird |  dog |  [wugs] |  birds, walls |  dogs |  birds |  houses |  [wug],0.8489208817481995,0.8489208817481995,0.8489208817481995
3,1.1192527322035706,0.7599037885665894,0.005349581595510244,28.27234135468801,27.481873099009196,1.484375,1.5,1.4494974613189697,1.9609375,0.1416015625, bird |  dogs |  dog |  squirrel |  [wugs], walls |  dogs |  birds |  houses |  rocks,0.902877688407898,0.8848921060562134,0.9208633303642273
4,1.4423082711246935,7.095142791513354e-05,2.244065761566162,31.142049213250477,30.98077797094981,1.5078125,1.4921875,1.4494974613189697,1.96875,0.13671875, bird |  dog |  dogs |  squirrel |  houses, walls |  dogs |  birds |  houses |  rocks,0.8776978254318237,0.9424460530281067,0.8129496574401855
5,1.1056954090123858,0.0009231696021743119,1.2009203433990479,26.00279494561255,25.877774492899576,1.5078125,1.5,1.4494974613189697,1.9765625,0.130859375, bird |  dog |  squirrel |  dogs |  houses, walls |  dogs |  birds |  rocks |  houses,0.9172661900520325,0.9208633303642273,0.9136690497398376
