epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.48336702585220337,1.8501875400543213,50.95188802083333,50.250179036458334,1.453125,1.453125,1.4494974613189697,1.96875,0.07666015625, dogs |  mansion |  lamps |  whales |  gates, rabbits |  dogs |  rats |  gates |  bathtub,0.40287768840789795,0.2733812928199768,0.5323740839958191
2,,0.08084060251712799,0.733544647693634,42.9625,42.321875,1.4453125,1.453125,1.4494974613189697,1.96875,0.07666015625, dogs |  mansion |  gates |  Dogs |  whales, rabbits |  dogs |  rats |  gates |  mice,0.44964027404785156,0.4460431635379791,0.4532374143600464
3,,0.37206873297691345,0.058236271142959595,30.990625,29.3,1.453125,1.453125,1.4494974613189697,1.9765625,0.06982421875, dogs |  mansion |  gates |  Dogs |  puppy, rabbits |  dogs |  rats |  mice |  gates,0.5035971403121948,0.4532374143600464,0.5539568066596985
4,,0.23972924053668976,0.05400341749191284,17.32265625,16.947395833333335,1.453125,1.4453125,1.4494974613189697,1.984375,0.0615234375, dogs |  mansion |  gates |  puppy |  Dogs, rabbits |  dogs |  mice |  rats |  lamps,0.5359712243080139,0.49640288949012756,0.5755395889282227
5,,0.43747130036354065,0.010280506685376167,17.614095052083332,17.613525390625,1.453125,1.453125,1.4494974613189697,2.0,0.048828125, dogs |  mansion |  puppy |  gates |  Dogs, rabbits |  dogs |  mice |  rats |  lamps,0.5539568066596985,0.4748201370239258,0.633093535900116
6,,0.4681668281555176,0.005352437030524015,16.665323893229168,16.735408528645834,1.4453125,1.453125,1.4494974613189697,2.015625,0.03662109375, mansion |  dogs |  puppy |  gates |  whales, rabbits |  dogs |  mice |  rats |  lamps,0.5935251712799072,0.4892086386680603,0.6978417038917542
7,,0.20630884170532227,0.007549166679382324,15.580973307291666,15.479191080729167,1.4453125,1.4453125,1.4494974613189697,2.03125,0.0234375, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  mice |  rats |  lamps,0.6402877569198608,0.5899280309677124,0.6906474828720093
8,,0.26467299461364746,0.009252270683646202,9.473990885416667,9.8191162109375,1.4453125,1.453125,1.4494974613189697,2.03125,0.01287841796875, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  mice |  lamps |  cats,0.6366906762123108,0.5611510872840881,0.7122302055358887
9,,0.010387061163783073,0.0801151692867279,9.203019205729166,9.082942708333333,1.4453125,1.4453125,1.4494974613189697,2.046875,-0.002410888671875, puppy |  mansion |  dogs |  kitten |  gates, rabbits |  dogs |  mice |  lamps |  rats,0.6798561215400696,0.6762589812278748,0.6834532618522644
10,,0.14284047484397888,0.006762058939784765,5.795292154947917,5.745768229166667,1.453125,1.4453125,1.4494974613189697,2.0625,-0.01544189453125, puppy |  mansion |  kitten |  dogs |  lizard, rabbits |  dogs |  mice |  lamps |  cats,0.6726618409156799,0.633093535900116,0.7122302055358887
11,,0.015119207091629505,0.05670638754963875,10.311922200520833,10.275673421223958,1.453125,1.4453125,1.4494974613189697,2.078125,-0.0255126953125, puppy |  mansion |  kitten |  lizard |  gates, rabbits |  dogs |  mice |  lamps |  cats,0.701438844203949,0.6834532618522644,0.7194244861602783
12,,0.010435588657855988,0.0705319195985794,8.852628580729167,8.828411865234376,1.453125,1.453125,1.4494974613189697,2.078125,-0.032470703125, puppy |  mansion |  kitten |  gates |  lizard, rabbits |  dogs |  mice |  lamps |  cats,0.7194244861602783,0.6834532618522644,0.7553957104682922
13,,0.18720301985740662,0.003158691804856062,4.114803059895833,4.058573404947917,1.453125,1.453125,1.4494974613189697,2.09375,-0.0361328125, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.6834532618522644,0.6187050342559814,0.7482014298439026
