epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.4230057609888416,0.8708174824714661,0.044286150485277176,60.21365254720052,58.59816690882047,1.4765625,1.4921875,1.4494974613189697,1.9453125,0.1416015625, dogs |  [wugs] |  door |  dog |  child, cats |  frogs |  dogs |  wolves |  puppies,0.9064748287200928,0.9424460530281067,0.8705036044120789
2,0.722214911536624,1.216840386390686,0.003473875345662236,24.70357869466146,25.69130916595459,1.4765625,1.5,1.4494974613189697,1.953125,0.1416015625, dogs |  [wugs] |  door |  dog |  child, cats |  frogs |  dogs |  wolves |  puppies,0.902877688407898,0.8848921060562134,0.9208633303642273
3,0.7536588473061178,0.8620359897613525,0.006647820584475994,22.803575325012208,21.341346232096353,1.484375,1.5,1.4494974613189697,1.953125,0.142578125, dogs |  [wugs] |  dog |  door |  child, cats |  frogs |  dogs |  wolves |  puppies,0.9064748287200928,0.8920863270759583,0.9208633303642273
4,0.6198184311579098,0.0006513274856843054,1.7593612670898438,17.727651596069336,17.984707347551982,1.4921875,1.4921875,1.4494974613189697,1.9609375,0.140625, dog |  dogs |  child |  door |  [wugs], cats |  frogs |  dogs |  wolves |  puppies,0.8956834673881531,0.9496402740478516,0.8417266011238098
5,1.0679912213818321,0.8188031315803528,0.003923082258552313,26.49744437734286,26.33247013092041,1.484375,1.5078125,1.4494974613189697,1.96875,0.138671875, dog |  door |  dogs |  child |  [wugs], cats |  frogs |  dogs |  wolves |  puppies,0.8992805480957031,0.8633093237876892,0.935251772403717
6,0.5733381036425877,0.0015070299850776792,1.1523969173431396,16.16662689646085,16.064818557103475,1.5,1.5,1.4494974613189697,1.96875,0.1376953125, dog |  door |  child |  dogs |  bird, cats |  frogs |  dogs |  wolves |  puppies,0.9100719690322876,0.9280575513839722,0.8920863270759583
