epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.1197134405374527,0.19881269335746765,50.985968017578124,63.524749755859375,1.078125,1.0859375,1.0794202089309692,1.4453125,0.1015625, |  | ᕯ | ﴀ | ﮉ, |  |  dogs | Ⲅ | 벋,0.6470588445663452,0.8655462265014648,0.4285714328289032
2,,0.09630171954631805,0.045266732573509216,32.4357411702474,31.057918294270834,1.078125,1.078125,1.0794202089309692,1.4765625,0.064453125, |  | מדויק | ᕯ | ﮉ, |  |  dogs | Ⲅ | ﹻ,0.7731092572212219,0.6218487620353699,0.924369752407074
3,,0.045334361493587494,0.0190860815346241,11.59263203938802,11.52672627766927,1.078125,1.078125,1.0794202089309692,1.4921875,0.0439453125, |  | מדויק | ᕯ | טל, |  |  dogs | Ⲅ |  cats,0.8109243512153625,0.6470588445663452,0.9747899174690247
4,,0.00992472656071186,0.08412768691778183,14.348382822672527,14.327336629231771,1.078125,1.078125,1.0794202089309692,1.5234375,0.0023956298828125, |  | ᕯ | ﮉ | 䨺, dogs |  |  |  cats |  birds,0.8655462265014648,0.8151260614395142,0.9159663915634155
