epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,10.059282025189502,6.561777591705322,8.113890544336755e-06,59.28534389178191,64.49134693394106,2.015625,2.1875,1.4494974613189697,3.484375,-0.365234375, door |  fence |  tree |  frog |  telescope, cats | 孩子们 |  birds |  chickens |  dogs,0.6302521228790283,0.3613445460796356,0.8991596698760986
2,9.105753348162255,0.0,14.209425926208496,36.88648327525396,36.54702229251464,2.5625,2.640625,1.4494974613189697,4.625,-0.578125, dolphin |  kitten |  dog |  door |  frog,孩子们 |  birds |  cats | (players |  eggs,0.5,1.0,0.0
3,6.8322747627894085,24.755077362060547,0.0,26.200000000206646,26.2,2.859375,3.046875,1.4494974613189697,5.40625,-0.67578125, handjob |  Shemale |  dolphin |  shemale |  frog,孩子们 |  birds |  cats |  eggs |  ants,0.5672268867492676,0.36974790692329407,0.7647058963775635
4,13.61722327824682,2.384185648907078e-08,4.349999904632568,42.22708333333333,42.22708333333334,3.125,3.34375,1.4494974613189697,6.0,-0.7265625, woman |  dog |  person |  door |  dolphin,(players |  birds | (users | 孩子们 |  atoms,0.7226890921592712,0.831932783126831,0.6134454011917114
