epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.7795311808586121,0.13106688857078552,52.6879638671875,45.433040364583334,1.4453125,1.453125,1.4494974613189697,1.9375,0.10791015625, doors |  trees |  chairs |  dogs |  doorway, trees |  chairs |  Trees |  cats |  doors,0.5035971403121948,0.3093525171279907,0.6978417038917542
2,,0.026813006028532982,0.4439767897129059,36.66951293945313,34.999934895833334,1.453125,1.453125,1.4494974613189697,1.9453125,0.0966796875, doors |  dogs |  trees |  chairs |  doorway, trees |  chairs |  cats |  phones |  Trees,0.6115108132362366,0.4892086386680603,0.7338129281997681
3,,0.0003037201822735369,2.3661272525787354,29.680989583333332,29.410677083333333,1.4453125,1.4453125,1.4494974613189697,1.9609375,0.0791015625, doors |  doorway |  trees | _door |  dogs, chairs |  trees |  phones |  cats |  cows,0.7517985701560974,0.7913669347763062,0.7122302055358887
