epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.6974304914474487,0.0732220783829689,56.6149169921875,63.258443196614586,1.0859375,1.078125,1.0794202089309692,1.4296875,0.12353515625, |  | � | 	cat | �, dogs |  cats |  |  |  Dogs,0.4892086386680603,0.3093525171279907,0.6690647602081299
2,,1.0131065845489502,0.0023238947615027428,32.80022939046224,33.914729817708334,1.078125,1.078125,1.0794202089309692,1.4453125,0.1015625, |  | � | 	cat | �, dogs |  cats | 猫咪 |  animals | ,0.5107913613319397,0.18705035746097565,0.8345323801040649
3,,0.014682136476039886,0.025218134745955467,27.343640277783077,27.04543660481771,1.078125,1.0859375,1.0794202089309692,1.46875,0.078125, |  | � | 	cat | 햏, dogs |  cats |  animals |  birds | 猫咪,0.528777003288269,0.3525179922580719,0.7050359845161438
4,,0.018407506868243217,0.1338747888803482,10.464259089529515,10.290945943196615,1.078125,1.078125,1.0794202089309692,1.4921875,0.04931640625, |  | 	cat | 햏 | �, dogs |  cats |  animals |  birds | 猫咪,0.5215827226638794,0.43884891271591187,0.6043165326118469
5,,0.0330837219953537,0.0016460794722661376,1.5597288229813178,1.50220947265625,1.078125,1.078125,1.0794202089309692,1.4921875,0.0439453125, |  | 	cat | � | 햏, dogs |  cats |  animals |  birds | 猫咪,0.5575539469718933,0.316546767950058,0.798561155796051
6,,0.09692291915416718,0.017874186858534813,9.836929852639635,9.73621108531952,1.078125,1.078125,1.0794202089309692,1.515625,0.01226806640625, |  | 	cat | � | 꼇, dogs |  cats |  birds |  animals |  rabbits,0.5935251712799072,0.3093525171279907,0.8776978254318237
7,,0.0058520035818219185,0.0026566358283162117,7.895852335138867,7.753627777099609,1.078125,1.078125,1.0794202089309692,1.53125,-0.007049560546875, |  | 	cat | � | 햏, cats |  dogs |  birds |  animals | 猫咪,0.5935251712799072,0.32374101877212524,0.8633093237876892
8,,0.00325014628469944,0.0012065188493579626,0.3876709754268328,0.3685053507486979,1.078125,1.078125,1.0794202089309692,1.53125,-0.00909423828125, |  | 	cat | � | 햏, cats |  dogs |  birds |  animals |  rabbits,0.597122311592102,0.32374101877212524,0.8705036044120789
9,,7.39372189855203e-05,0.19044433534145355,1.4407987569769223,1.365161774555842,1.078125,1.078125,1.0794202089309692,1.5546875,-0.0341796875, |  | 햏 | 뷁 | 	cat, cats |  dogs |  birds |  animals | 猫咪,0.6654676198959351,0.6043165326118469,0.7266187071800232
10,,0.0001705413596937433,0.011750881560146809,10.676909046498865,10.595414129892985,1.078125,1.078125,1.0794202089309692,1.578125,-0.07666015625, |  | 햏 | � | 뷁, cats |  dogs |  birds |  animals |  rabbits,0.7913669347763062,0.6762589812278748,0.9064748287200928
