epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.559849798524131,0.2003863900899887,1.3944268226623535,93.32900487184524,74.77319760366032,1.4921875,1.4921875,1.4494974613189697,1.953125,0.1455078125,_door |  door |  walls |  Walls |  [wugs], dogs |  birds |  wolves |  cats |  frogs,0.8781512379646301,0.8235294222831726,0.9327731132507324
2,0.7868613107994558,2.788130521774292,0.00024273039889521897,26.015523274739582,21.079498036702475,1.4921875,1.515625,1.4494974613189697,1.96875,0.142578125,_door |  door |  Walls |  walls |  [wugs], dogs |  birds |  wolves |  cats |  frogs,0.6428571343421936,0.2857142984867096,1.0
3,0.7591957203650584,3.029318031622097e-05,2.919132709503174,27.305097834269205,25.773851065834364,1.53125,1.5078125,1.4494974613189697,2.0,0.1279296875,_door |  door |  woman |  Walls |  walls, dogs |  birds |  wolves |  cats |  frogs,0.9075630307197571,0.924369752407074,0.8907563090324402
