epoch,wug_proj,wugs_proj,dist
1,0.07336336374282837,0.14578336477279663,0.07242000102996826
2,0.05172329396009445,0.1601058840751648,0.10838259011507034
3,0.04368581995368004,0.16868172585964203,0.12499590218067169
4,0.037709325551986694,0.1714106798171997,0.133701354265213
5,0.0323660671710968,0.17653393745422363,0.14416787028312683
6,0.033496659249067307,0.17532221972942352,0.14182555675506592
7,0.03174611181020737,0.17710761725902557,0.1453615128993988
8,0.02969883196055889,0.17964182794094086,0.14994299411773682
9,0.0222238190472126,0.18733808398246765,0.16511426866054535
10,0.02200382575392723,0.1870725452899933,0.16506871581077576
11,0.021069280803203583,0.18783238530158997,0.1667630970478058
12,0.019309047609567642,0.1899125874042511,0.17060354351997375
13,0.018025480210781097,0.19147413969039917,0.17344865202903748
