epoch,wug_proj,wugs_proj,dist
1,0.025234771892428398,0.0704762265086174,0.045241452753543854
2,0.0026222411543130875,0.08998969197273254,0.0873674526810646
3,-0.013010003603994846,0.10445564985275269,0.11746565252542496
4,-0.018411068245768547,0.1094483882188797,0.1278594583272934
5,-0.03033066913485527,0.11606146395206451,0.14639213681221008
6,-0.033444844186306,0.118467316031456,0.1519121527671814
7,-0.04261140525341034,0.12726552784442902,0.16987693309783936
8,-0.04728475958108902,0.13143280148506165,0.17871755361557007
9,-0.05154397711157799,0.13467323780059814,0.18621721863746643
10,-0.05902482569217682,0.1391214281320572,0.198146253824234
11,-0.06055328994989395,0.14224278926849365,0.202796071767807
