epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.757143181562423,3.1482300758361816,0.4147565960884094,77.06330625974418,69.64378855053025,1.4765625,1.484375,1.4494974613189697,1.9765625,0.1142578125,_gate |  gates |  gate |  doors | 門, dogs |  trees |  birds |  roses | trees,0.6510791182518005,0.35971224308013916,0.9424460530281067
2,1.0362831439391205,0.016233161091804504,1.3822706937789917,41.95254440535791,30.718854268391926,1.515625,1.4921875,1.4494974613189697,1.984375,0.1240234375,_gate |  gate |  gates |  doors |  door, dogs |  birds |  trees |  roses |  lamps,0.8992805480957031,0.8633093237876892,0.935251772403717
3,0.6462147194795155,1.1983693838119507,0.0018005032325163484,18.81198733225465,16.925715016325316,1.5078125,1.5078125,1.4494974613189697,1.9921875,0.125,_gate |  gate |  gates |  doors |  door, dogs |  birds |  trees |  roses |  lamps,0.7805755138397217,0.6043165326118469,0.9568345546722412
4,0.801151026419014,0.0021687333937734365,1.2111462354660034,27.103168869472576,27.331224943945806,1.5234375,1.5,1.4494974613189697,1.9921875,0.125,_gate |  gate |  gates |  doors |  door, dogs |  birds |  trees |  roses |  lamps,0.9100719690322876,0.8920863270759583,0.9280575513839722
