epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.0335218980326317e-05,4.3743510246276855,67.70894117355351,74.0547054417509,1.078125,1.078125,1.0794202089309692,2.015625,-0.73828125, davidjl | 𬶠 | 𨭉 | creature | ﮰ, two |  двух |  deux | 两位 |  Two,0.5084033608436584,1.0,0.016806723549962044
2,,0.0,24.498058319091797,35.28553466796875,38.69097412160287,1.078125,1.078125,1.0794202089309692,2.046875,-0.8046875, dragon | 🐉 | 🐲 |  creature | creature, deux |  two |  двух | 两位 |  Two,0.5336134433746338,0.924369752407074,0.1428571492433548
3,,0.8333646059036255,4.40667724609375,23.894430017028935,18.171265792846693,1.078125,1.078125,1.0794202089309692,2.09375,-0.8828125, dragon | 🐉 | 🐲 | _patterns |  המבקש, two |  Two | 两位 |  двух |  deux,0.6260504126548767,0.9831932783126831,0.2689075767993927
4,,12.504534721374512,0.0,42.42275691373604,47.55663371546737,1.078125,1.078125,1.0794202089309692,2.03125,-0.76171875, dragon |  Dragon | 🐉 | 🐲 |  lizard, двух |  two | 两只 | 两位 |  deux,0.4957983195781708,0.0,0.9915966391563416
5,,0.0,22.70132827758789,49.94405415944639,40.36292802095413,1.078125,1.078125,1.0794202089309692,2.09375,-0.87890625,🐲 | 🐉 |  dragon |  creature | 鼍, two |  deux |  Two | Two |  двух,0.5,0.9747899174690247,0.02521008439362049
6,,26.709423065185547,0.0,59.122505060831735,63.910565694598105,1.078125,1.078125,1.0794202089309692,2.046875,-0.8046875, dragon |  Dog | 🐲 | 🐉 | Dog, two | 两只 |  deux |  двух | two,0.5042017102241516,0.008403361774981022,1.0
7,,0.000334991083946079,0.0004119080549571663,41.232874235301374,54.17511126214425,1.078125,1.078125,1.0794202089309692,2.0,-0.72265625, dragon | 🐉 | 🐲 |  lizard | 鼍, two |  deux |  двух |  Two | 两只,0.6428571343421936,0.31092438101768494,0.9747899174690247
8,,4.377049922943115,2.3841846541472478e-07,9.73815228597641,15.584201726512164,1.078125,1.078125,1.0794202089309692,1.9375,-0.609375,🐉 |  dragon | 🐲 |  creature |  Dragon, двух | 两只 |  two |  deux | 两位,0.5546218752861023,0.11764705926179886,0.9915966391563416
9,,13.226605415344238,0.0,38.00394032869205,29.622441209286666,1.078125,1.078125,1.0794202089309692,2.03125,-0.77734375, dragon |  concealed |  Dragon | 鼍 | .caption, two | 两只 |  deux |  двух |  Two,0.5042017102241516,0.008403361774981022,1.0
10,,5.348249435424805,0.026549100875854492,50.99011853542761,53.57855201940991,1.078125,1.078125,1.0794202089309692,2.09375,-0.875, concealed | .caption |  dragon | 🐲 |  ideal, deux |  two |  двух | two |  zwei,0.5126050710678101,0.02521008439362049,1.0
11,,1.4172981536830775e-05,0.6004308462142944,58.01671549479167,58.214298502604166,1.078125,1.078125,1.0794202089309692,1.9609375,-0.6484375,🐲 |  dragon | 🐉 |  concealed |  creature, two |  deux |  Two | two |  двух,0.6302521228790283,0.6386554837226868,0.6218487620353699
12,,0.4450436234474182,6.097689151763916,11.52178418658538,11.521609243199055,1.078125,1.078125,1.0794202089309692,2.09375,-0.875, dragon | 🐉 | 🐲 |  creature | 最合适, two |  deux |  двух | 两位 |  Two,0.7605041861534119,0.8907563090324402,0.6302521228790283
