epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.03267182782292366,0.19645027816295624,44.017051696777344,53.73260498046875,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, |  | 텣 | ﳇ | 닪, |  |  cats | 겙 | ᗭ,0.5840336084365845,0.5378151535987854,0.6302521228790283
2,,1.1102768182754517,0.009463276714086533,16.201192220052082,16.1998046875,1.0859375,1.0859375,1.0794202089309692,1.4609375,0.09130859375, |  | ﳇ | 텣 | ﱀ, |  |  cats | 겙 | 鿍,0.5168067216873169,0.1260504275560379,0.9075630307197571
3,,2.0967986583709717,4.219254697090946e-05,17.75066566467285,18.185670852661133,1.078125,1.078125,1.0794202089309692,1.5,0.03369140625, |  | ﱀ | 텣 | ﳇ, cats |  |  | 곙 | 녂,0.5336134433746338,0.07563025504350662,0.9915966391563416
4,,0.0025902914348989725,0.011665993370115757,8.8441454966863,8.84059346516927,1.078125,1.078125,1.0794202089309692,1.5234375,0.004730224609375, |  | ﱀ | ﳇ | 𝕻, cats |  |  | 곙 | 녂,0.680672287940979,0.40336135029792786,0.9579831957817078
5,,0.09942194819450378,0.060212284326553345,8.043081878622372,8.11789780134956,1.078125,1.078125,1.0794202089309692,1.5546875,-0.039794921875, |  | ﱀ | ﳇ | 𝕻, cats |  |  | 겙 | 곂,0.6596638560295105,0.38655462861061096,0.9327731132507324
6,,0.012033829465508461,0.002469835104420781,8.931568746765455,9.351788767558173,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08349609375, |  | ﱀ | 𝕻 | ﳇ, cats |  |  | 겥 | 곙,0.5882353186607361,0.18487395346164703,0.9915966391563416
7,,9.354887151857838e-05,0.22626528143882751,1.1739784479141235,1.1140884399414062,1.078125,1.078125,1.0794202089309692,1.59375,-0.09375, |  | 𝕻 | ﳇ | ﱀ, cats |  |  |  birds |  kittens,0.7184873819351196,0.5210084319114685,0.9159663915634155
8,,0.0002494958753231913,0.014477564021945,8.551949691782465,8.405998329321543,1.078125,1.078125,1.0794202089309692,1.6484375,-0.171875, |  | 𝕻 | ﳇ | ﮈ, cats | 两家 |  kittens |  dogs |  birds,0.7857142686843872,0.7310924530029297,0.8403361439704895
9,,0.000610755814705044,0.0012497857678681612,0.5649385690689087,0.6821486180822831,1.078125,1.078125,1.0794202089309692,1.65625,-0.1748046875, |  | 𝕻 | ﳇ | 𬶠, cats | 两家 |  kittens |  dogs |  TWO,0.7815126180648804,0.6302521228790283,0.9327731132507324
10,,0.011006133630871773,0.00010543638927629218,9.544722316258897,9.702288979765338,1.078125,1.078125,1.0794202089309692,1.6875,-0.2265625, |  | 𝕻 | ﲝ |  Connections, cats | 两家 |  TWO | 两只 |  dogs,0.6134454011917114,0.24369747936725616,0.9831932783126831
11,,0.0001033706939779222,0.030777201056480408,1.3209749127738177,1.2479461374001404,1.078125,1.078125,1.0794202089309692,1.6953125,-0.2294921875, |  | 𝕻 | ﳇ | ﮈ, cats | 两家 |  TWO |  deux | 两只,0.7983193397521973,0.6974790096282959,0.8991596698760986
12,,9.798744031286333e-06,0.40974006056785583,0.7415111464758714,0.7121962466622184,1.078125,1.078125,1.0794202089309692,1.703125,-0.244140625, |  | 𝕻 | ﳇ | ﱀ, cats | 两家 |  TWO |  deux | 两只,0.8109243512153625,0.8571428656578064,0.7647058963775635
13,,0.02311982586979866,0.00019954540766775608,5.574355804437436,5.548378292719523,1.078125,1.078125,1.0794202089309692,1.7421875,-0.298828125, |  |  Connections | 𝕻 | ﲝ, cats | 两只 | 两家 |  TWO |  deux,0.6176470518112183,0.23529411852359772,1.0
14,,0.00020730243704747409,0.00019226089352741838,0.4728484399616718,0.36165418438613417,1.078125,1.078125,1.0794202089309692,1.75,-0.310546875, |  | 𝕻 | ﮈ |  Connections, cats | 两只 | 两家 |  TWO |  deux,0.7394958138465881,0.5042017102241516,0.9747899174690247
15,,0.006158409174531698,0.24775448441505432,0.5371474141720682,0.5001004160071413,1.078125,1.078125,1.0794202089309692,1.765625,-0.34375, |  | 𝕻 |  Connections | ﱀ,两家 |  cats | 两只 |  deux |  TWO,0.8361344337463379,0.7478991746902466,0.924369752407074
