epoch,wug_proj,wugs_proj,dist
1,0.06086554005742073,0.10467979311943054,0.04381425306200981
2,0.043251506984233856,0.11917173862457275,0.0759202316403389
3,0.029201466590166092,0.13014402985572815,0.10094256699085236
4,0.021200943738222122,0.13839945197105408,0.11719851195812225
5,0.01203926745802164,0.14588108658790588,0.13384181261062622
6,0.0005445950664579868,0.1533600091934204,0.15281541645526886
7,-0.009899173863232136,0.15967094898223877,0.16957011818885803
8,-0.012912907637655735,0.16179679334163666,0.17470970749855042
9,-0.017234282568097115,0.16211803257465363,0.1793523132801056
10,-0.033901337534189224,0.17715689539909363,0.21105822920799255
11,-0.0375385507941246,0.17888931930065155,0.21642786264419556
