epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.076966149235765,2.2052183151245117,0.09860805422067642,84.00577824910482,83.71473961078252,1.1015625,1.125,1.0794202089309692,1.4453125,0.1494140625, |  | 鸟成长记 | 魔龙令牌 | ᔊ, dogs |  houses |  birds |  fishermen |  flowers,0.8848921060562134,0.9568345546722412,0.8129496574401855
2,1.1509880092871148,1.7941194772720337,0.006258643697947264,52.998678588867186,39.168513997395834,1.109375,1.1328125,1.0794202089309692,1.4609375,0.154296875, |  | 鸟成长记 | 魔龙令牌 |  davidjl, dogs |  houses |  birds |  fishermen |  flowers,0.9208633303642273,0.9208633303642273,0.9208633303642273
3,0.5109423080978862,1.5467171669006348,0.0010980111546814442,25.420579719543458,17.62654266357422,1.125,1.140625,1.0794202089309692,1.46875,0.15234375, |  | 鸟成长记 | 魔龙令牌 | 빪, dogs |  houses |  birds |  flowers |  fishermen,0.8992805480957031,0.8776978254318237,0.9208633303642273
4,0.9840378593037636,0.00036815900239162147,1.981560230255127,33.0588169892629,32.909686521689096,1.1328125,1.1328125,1.0794202089309692,1.4765625,0.150390625, |  | 鸟成长记 | 魔龙令牌 | 빪, dogs |  houses |  birds |  flowers |  fishermen,0.9280575513839722,0.971222996711731,0.8848921060562134
