epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.346171801521753,0.19837428629398346,1.0743446350097656,80.67495485941569,58.1971207300822,1.109375,1.1171875,1.0794202089309692,1.4765625,0.12109375, trees | (tree |  ponds |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.9453781247138977,0.9411764740943909,0.9495798349380493
2,0.9703291932726643,1.5081373453140259,0.014540320262312889,34.3941343943278,28.943678696950276,1.1171875,1.125,1.0794202089309692,1.484375,0.125, trees | (tree |  ponds |  thing |  cats, |  | 윾 | 옼 | ꂫ,0.9411764740943909,0.8991596698760986,0.9831932783126831
3,1.3071007978302893,0.00012114309356547892,2.154811382293701,41.088719819486144,40.46358368767736,1.1328125,1.1328125,1.0794202089309692,1.5078125,0.1103515625, trees | (tree |  thing |  ponds | 貓, |  | ꂫ | 윾 | 옼,0.9453781247138977,0.9663865566253662,0.924369752407074
4,1.3507058787962098,0.13907937705516815,0.14322227239608765,34.08213450113932,33.994197310507296,1.125,1.1328125,1.0794202089309692,1.5078125,0.11328125, trees | (tree |  thing |  ponds | 貓, |  | ꂫ | 윾 | 옼,0.9495798349380493,0.9411764740943909,0.9579831957817078
