epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.5106306076049805,1.5199377536773682,63.97644063631694,59.267503356933595,1.0859375,1.078125,1.0794202089309692,1.4375,0.1220703125, gates |  |  |  fences | ﭺ, |  | ﲋ |  cats | 햤,0.5126050710678101,0.24369747936725616,0.7815126180648804
2,,0.3688329756259918,0.38414448499679565,41.1828369140625,43.22057291666667,1.078125,1.078125,1.0794202089309692,1.421875,0.1259765625, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | ﲋ,0.5126050710678101,0.31092438101768494,0.7142857313156128
3,,0.15667842328548431,0.11522440612316132,32.03390299479167,35.12122395833333,1.078125,1.078125,1.0794202089309692,1.4296875,0.1240234375, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.5126050710678101,0.3025210201740265,0.7226890921592712
4,,0.03575005382299423,0.12360735237598419,17.6969482421875,17.866536458333332,1.078125,1.0859375,1.0794202089309692,1.4375,0.11767578125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.5252100825309753,0.32773110270500183,0.7226890921592712
5,,0.03971721976995468,0.0737219974398613,11.236041259765624,11.336197916666666,1.078125,1.078125,1.0794202089309692,1.4453125,0.11083984375, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.529411792755127,0.3193277418613434,0.7394958138465881
6,,0.02431420236825943,0.0644218921661377,13.302926635742187,13.2494140625,1.078125,1.078125,1.0794202089309692,1.4453125,0.10107421875, gates |  |  | 𝕻 | ﭺ, |  |  cats |  dogs | 햤,0.5336134433746338,0.3193277418613434,0.7478991746902466
7,,0.052172500640153885,0.012353211641311646,6.362076822916666,6.373876953125,1.078125,1.0859375,1.0794202089309692,1.453125,0.09423828125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.5504201650619507,0.2521008551120758,0.848739504814148
8,,0.04380963742733002,0.007484667003154755,8.083462142944336,8.027229817708333,1.078125,1.078125,1.0794202089309692,1.4609375,0.08544921875, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.575630247592926,0.27731093764305115,0.8739495873451233
9,,0.058416396379470825,0.0025648169685155153,4.588237635294596,4.646284993489584,1.078125,1.078125,1.0794202089309692,1.46875,0.0751953125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs |  birds,0.5672268867492676,0.21848739683628082,0.9159663915634155
10,,0.002151366788893938,0.0300290584564209,2.03844788869222,1.9604166666666667,1.078125,1.078125,1.0794202089309692,1.4765625,0.06494140625, gates |  |  | ﭺ | 𝕻, cats |  |  |  dogs |  birds,0.5714285969734192,0.29411765933036804,0.848739504814148
11,,0.003292802721261978,0.0216534323990345,1.9163891235987345,1.8899688720703125,1.078125,1.078125,1.0794202089309692,1.484375,0.05419921875, gates |  |  | ﭺ | 𝕻, cats |  |  dogs |  |  birds,0.5840336084365845,0.31092438101768494,0.8571428656578064
12,,0.11597929149866104,0.0006490112864412367,1.6622215588887532,1.6807393391927083,1.078125,1.078125,1.0794202089309692,1.4921875,0.04345703125, gates |  |  | ﭺ | 𝕻, cats |  |  |  dogs |  birds,0.5546218752861023,0.20168067514896393,0.9075630307197571
13,,0.014323932118713856,0.0011726507218554616,3.4712472279866535,3.503045145670573,1.078125,1.078125,1.0794202089309692,1.5,0.0322265625, gates |  |  | ﭺ | 𝕻, cats |  |  |  dogs |  birds,0.5798319578170776,0.24369747936725616,0.9159663915634155
14,,0.023909548297524452,0.0008463311824016273,1.7019818941752116,1.6625956217447917,1.078125,1.078125,1.0794202089309692,1.5078125,0.0230712890625, gates |  |  | ﭺ | 𝕻, cats |  |  |  dogs |  birds,0.5840336084365845,0.23529411852359772,0.9327731132507324
15,,0.003026646329089999,0.0020436695776879787,2.1543325146039325,2.1480066935221354,1.078125,1.078125,1.0794202089309692,1.5234375,0.0078125, gates |  |  | ﭺ | 𝕻, cats |  dogs |  |  |  birds,0.6092436909675598,0.2857142984867096,0.9327731132507324
